stem,root,hom,class,mode,voice,pos,modification
aBrAyitum,aBra,,,,,infinitive,
aBrya,aBra,,,,,gerund,
aBrAyitvA,aBra,,,,,gerund,
attavat,ad,1,,past,active,,
attavya,ad,1,,fut,pass,,
atta,ad,1,,past,pass,,
atsyat,ad,1,,fut,para,,
atsyamAna,ad,1,,fut,atma,,
adat,ad,1,2,pres,para,,
adanIya,ad,1,,fut,pass,,
adAna,ad,1,2,pres,atma,,
adyamAna,ad,1,,pres,pass,,
adya,ad,1,,fut,pass,,
AdanIya,ad,1,,fut,pass,,caus
Adayat,ad,1,,pres,para,,caus
AdayamAna,ad,1,,pres,atma,,caus
Adayitavya,ad,1,,fut,pass,,caus
Adayizyat,ad,1,,fut,para,,caus
AdayizyamAna,ad,1,,fut,atma,,
AdayizyamAna,ad,1,,fut,atma,,caus
AdAna,ad,1,,perf,atma,,
Aditavat,ad,1,,past,active,,caus
Adita,ad,1,,past,pass,,caus
Adivas,ad,1,,perf,para,,
AdyamAna,ad,1,,pres,pass,,caus
Adya,ad,1,,fut,pass,,caus
attum,ad#1,,,,,infinitive,
adya,ad#1,,,,,gerund,
Adayitum,ad#1,,,,,infinitive,caus
Adya,ad#1,,,,,gerund,caus
attvA,ad#1,,,,,gerund,
AdayitvA,ad#1,,,,,gerund,caus
aDvarIyitum,aDvara,,,,,infinitive,
aDvarya,aDvara,,,,,gerund,
aDvaryitum,aDvara,,,,,infinitive,
aDvarIyitvA,aDvara,,,,,gerund,
aDvaryitvA,aDvara,,,,,gerund,
aGAyitum,aGa,,,,,infinitive,
aGya,aGa,,,,,gerund,
aGAyitvA,aGa,,,,,gerund,
agadya,agada,,,,,gerund,
agadyitum,agada,,,,,infinitive,
agadyitvA,agada,,,,,gerund,
aktavat,aj,,,past,active,,
aktavya,aj,,,fut,pass,,
akta,aj,,,past,pass,,
akzyat,aj,,,fut,para,,
akzyamAna,aj,,,fut,atma,,
ajat,aj,,1,pres,para,,
ajanIya,aj,,,fut,pass,,
ajamAna,aj,,1,pres,atma,,
ajyamAna,aj,,,pres,pass,,
ajya,aj,,,fut,pass,,
AjAna,aj,,,perf,atma,,
Ajivas,aj,,,perf,para,,
ajitum,aj,,,,,infinitive,
ajya,aj,,,,,gerund,
ajitvA,aj,,,,,gerund,
ajirAyitum,ajira,,,,,infinitive,
ajirya,ajira,,,,,gerund,
ajirAyitvA,ajira,,,,,gerund,
AkarRayitum,AkarRa,,,,,infinitive,
AkarRya,AkarRa,,,,,gerund,
AkarRayitvA,AkarRa,,,,,gerund,
Akulayitum,Akula,,,,,infinitive,
Akulya,Akula,,,,,gerund,
AkulayitvA,Akula,,,,,gerund,
akzaRIya,akz,,,fut,pass,,
akzat,akz,,1,pres,para,,
akzamAna,akz,,1,pres,atma,,
akzitavya,akz,,,fut,pass,,
akzizyat,akz,,,fut,para,,
akzizyamAna,akz,,,fut,atma,,
akzyat,akz,,,fut,para,,
akzyamAna,akz,,,fut,atma,,
akzyamAna,akz,,,pres,pass,,
akzya,akz,,,fut,pass,,
azwavya,akz,,,fut,pass,,
AnakzARa,akz,,,perf,atma,,
Anakzvas,akz,,,perf,para,,
akzitum,akz,,,,,infinitive,
azwum,akz,,,,,infinitive,
amItum,am,,,,,infinitive,
Anya,am,,,,,gerund,
Amayitum,am,,,,,infinitive,caus
Amya,am,,,,,gerund,caus
amitvA,am,,,,,gerund,
AmayitvA,am,,,,,gerund,caus
amitrayitum,amitra,,,,,infinitive,
amitrya,amitra,,,,,gerund,
amitrayitvA,amitra,,,,,gerund,
aMSayitum,aMSa,,,,,infinitive,
aMSya,aMSa,,,,,gerund,
aMSayitvA,aMSa,,,,,gerund,
anat,an,2,2,pres,para,,
ananinizvas,an,2,,perf,para,,desid
anAna,an,2,2,pres,atma,,
anitavat,an,2,,past,active,,
anita,an,2,,past,pass,,
aninizaRIya,an,2,,fut,pass,,desid
aninizat,an,2,,pres,para,,desid
aninizitavat,an,2,,past,active,,desid
aninizita,an,2,,past,pass,,desid
anizyat,an,2,,fut,para,,
anizyamAna,an,2,,fut,atma,,
AnanIya,an,2,,fut,pass,,caus
Anayat,an,2,,pres,para,,caus
AnayamAna,an,2,,pres,atma,,caus
Anayizyat,an,2,,fut,para,,caus
AnayizyamAna,an,2,,fut,atma,,
AnayizyamAna,an,2,,fut,atma,,caus
AnAna,an,2,,perf,atma,,
Anitavat,an,2,,past,active,,caus
Anita,an,2,,past,pass,,caus
Anivas,an,2,,perf,para,,
AnyamAna,an,2,,pres,pass,,caus
Anya,an,2,,fut,pass,,caus
anitum,an#2,,,,,infinitive,
aninizitum,an#2,,,,,infinitive,desid
aninizya,an#2,,,,,gerund,desid
anya,an#2,,,,,gerund,
Anayitum,an#2,,,,,infinitive,caus
Anya,an#2,,,,,gerund,caus
anitvA,an#2,,,,,gerund,
aninizitvA,an#2,,,,,gerund,desid
AnayitvA,an#2,,,,,gerund,caus
anDayitum,anDa,,,,,infinitive,
anDya,anDa,,,,,gerund,
anDayitvA,anDa,,,,,gerund,
aNkzyat,aNg,,,fut,para,,
aNkzyamAna,aNg,,,fut,atma,,
aNgat,aNg,,1,pres,para,,
aNganIya,aNg,,,fut,pass,,
aNgamAna,aNg,,1,pres,atma,,
aNgitavat,aNg,,,past,active,,
aNgita,aNg,,,past,pass,,
aNgtavya,aNg,,,fut,pass,,
aNgyamAna,aNg,,,pres,pass,,
aNgya,aNg,,,fut,pass,,
anaNgAna,aNg,,,perf,atma,,
anaNgvas,aNg,,,perf,para,,
aNgitum,aNg,,,,,infinitive,
aNgya,aNg,,,,,gerund,
aNgitvA,aNg,,,,,gerund,
aNkayitum,aNka,,,,,infinitive,
aNkya,aNka,,,,,gerund,
aNKayitum,aNKa,,,,,infinitive,
aNKya,aNKa,,,,,gerund,
aNkayitvA,aNka,,,,,gerund,
aNKayitvA,aNKa,,,,,gerund,
ApanIya,Ap,1,,fut,pass,,
ApanIya,Ap,1,,fut,pass,,caus
Apayat,Ap,1,,pres,para,,caus
ApayamAna,Ap,1,,pres,atma,,caus
Apayitavya,Ap,1,,fut,pass,,caus
Apayizyat,Ap,1,,fut,para,,caus
ApayizyamAna,Ap,1,,fut,atma,,
ApayizyamAna,Ap,1,,fut,atma,,caus
ApAna,Ap,1,,perf,atma,,
Apitavat,Ap,1,,past,active,,caus
Apita,Ap,1,,past,pass,,caus
Apivas,Ap,1,,perf,para,,
Aptavat,Ap,1,,past,active,,
Aptavya,Ap,1,,fut,pass,,
Apta,Ap,1,,past,pass,,
Apnuvat,Ap,1,5,pres,para,,
ApnvAna,Ap,1,5,pres,atma,,
ApyamAna,Ap,1,,pres,pass,,
ApyamAna,Ap,1,,pres,pass,,caus
Apya,Ap,1,,fut,pass,,
Apya,Ap,1,,fut,pass,,caus
Apsyat,Ap,1,,fut,para,,
ApsyamAna,Ap,1,,fut,atma,,
Ipsat,Ap,1,,pres,para,,desid
IpsanIya,Ap,1,,fut,pass,,desid
Ipsitavat,Ap,1,,past,active,,desid
Ipsita,Ap,1,,past,pass,,desid
Ipsivas,Ap,1,,perf,para,,desid
Apayitum,Ap,,,,,infinitive,caus
Apayya,Ap,,,,,gerund,caus
Aptum,Ap,,,,,infinitive,
Apya,Ap,,,,,gerund,
Ipsitum,Ap,,,,,infinitive,desid
Ipsya,Ap,,,,,gerund,desid
ApayitvA,Ap,,,,,gerund,caus
AptvA,Ap,,,,,gerund,
IpsitvA,Ap,,,,,gerund,desid
apsaraya,apsaras,,,,,gerund,
apsarAyitum,apsaras,,,,,infinitive,
apsarAyitvA,apsaras,,,,,gerund,
anardAna,ard,,,perf,atma,,
anardvas,ard,,,perf,para,,
arttavya,ard,,,fut,pass,,
artsyat,ard,,,fut,para,,
artsyamAna,ard,,,fut,atma,,
ardat,ard,,1,pres,para,,
ardanIya,ard,,,fut,pass,,
ardamAna,ard,,1,pres,atma,,
arditavat,ard,,,past,active,,
ardita,ard,,,past,pass,,
ardyamAna,ard,,,pres,pass,,
ardya,ard,,,fut,pass,,
arditum,ard,,,,,infinitive,
ardya,ard,,,,,gerund,
arditvA,ard,,,,,gerund,
anarhARa,arh,,,perf,atma,,
anarhvas,arh,,,perf,para,,
arkzyat,arh,,,fut,para,,
arkzyamAna,arh,,,fut,atma,,
arQavya,arh,,,fut,pass,,
arhaRIya,arh,,,fut,pass,,
arhaRIya,arh,,,fut,pass,,caus
arhat,arh,,1,pres,para,,
arhamAna,arh,,1,pres,atma,,
arhayat,arh,,,pres,para,,caus
arhayamAna,arh,,,pres,atma,,caus
arhayitavya,arh,,,fut,pass,,caus
arhayizyat,arh,,,fut,para,,caus
arhayizyamAna,arh,,,fut,atma,,
arhayizyamAna,arh,,,fut,atma,,caus
arhitavat,arh,,,past,active,,
arhitavat,arh,,,past,active,,caus
arhita,arh,,,past,pass,,
arhita,arh,,,past,pass,,caus
arhyamAna,arh,,,pres,pass,,
arhyamAna,arh,,,pres,pass,,caus
arhya,arh,,,fut,pass,,
arhya,arh,,,fut,pass,,caus
arhayitum,arh,,,,,infinitive,caus
arhitum,arh,,,,,infinitive,
arhya,arh,,,,,gerund,
arhayitvA,arh,,,,,gerund,caus
arhitvA,arh,,,,,gerund,
anarTAna,arT,,,perf,atma,,
anarTvas,arT,,,perf,para,,
arTanIya,arT,,,fut,pass,,
arTayat,arT,,10,pres,para,,
arTayamAna,arT,,10,pres,atma,,
arTayitavya,arT,,,fut,pass,,
arTayizyat,arT,,,fut,para,,
arTayizyamAna,arT,,,fut,atma,,
arTitavat,arT,,,past,active,,
arTita,arT,,,past,pass,,
arTyamAna,arT,,,pres,pass,,
arTya,arT,,,fut,pass,,
arTayitum,arT,,,,,infinitive,
arTya,arT,,,,,gerund,
arTayitvA,arT,,,,,gerund,
asat,as,2,1,pres,para,,
asanIya,as,2,,fut,pass,,
asamAna,as,2,1,pres,atma,,
asitavya,as,2,,fut,pass,,
asizyat,as,2,,fut,para,,
asizyamAna,as,2,,fut,atma,,
astavat,as,2,,past,active,,
asta,as,2,,past,pass,,
asyat,as,2,4,pres,para,,
asyamAna,as,2,4,pres,atma,,
asyamAna,as,2,,pres,pass,,
asya,as,2,,fut,pass,,
AsanIya,As,2,,fut,pass,,
AsanIya,As,2,,fut,pass,,caus
AsanIya,as,2,,fut,pass,,caus
Asayat,As,2,,pres,para,,caus
Asayat,as,2,,pres,para,,caus
AsayamAna,As,2,,pres,atma,,caus
AsayamAna,as,2,,pres,atma,,caus
Asayitavya,As,2,,fut,pass,,caus
Asayitavya,as,2,,fut,pass,,caus
Asayizyat,as,2,,fut,para,,caus
AsayizyamAna,As,2,,fut,atma,,
AsayizyamAna,As,2,,fut,atma,,caus
AsayizyamAna,as,2,,fut,atma,,
AsayizyamAna,as,2,,fut,atma,,caus
AsAna,as,2,,perf,atma,,
Asitavat,As,2,,past,active,,
Asitavat,As,2,,past,active,,caus
Asitavat,as,2,,past,active,,caus
Asitavya,As,2,,fut,pass,,
Asita,As,2,,past,pass,,
Asita,As,2,,past,pass,,caus
Asita,as,2,,past,pass,,caus
Asivas,as,1,,perf,para,,
Asivas,as,2,,perf,para,,
AsizyamAna,As,2,,fut,atma,,
AsIna,As,2,2,pres,atma,,
AsIna,As,2,,perf,atma,,
AsyamAna,As,2,,pres,pass,,
AsyamAna,As,2,,pres,pass,,caus
AsyamAna,as,2,,pres,pass,,caus
Asya,As,2,,fut,pass,,
Asya,As,2,,fut,pass,,caus
Asya,as,2,,fut,pass,,caus
sat,as,1,2,pres,para,,
aSitum,aS#1,,,,,infinitive,
aSya,aS#1,,,,,gerund,
asitum,as#1,,,,,infinitive,
aSitvA,aS#1,,,,,gerund,
azwvA,aS#1,,,,,gerund,
aSitum,aS#2,,,,,infinitive,
aSya,aS#2,,,,,gerund,
asitum,as#2,,,,,infinitive,
asya,as#2,,,,,gerund,
ASayitum,aS#2,,,,,infinitive,caus
ASya,aS#2,,,,,gerund,caus
Asam,as#2,,,,,gerund,
Asayitum,As#2,,,,,infinitive,caus
Asayitum,as#2,,,,,infinitive,caus
Asitum,As#2,,,,,infinitive,
Asya,As#2,,,,,gerund,
Asya,as#2,,,,,gerund,caus
aSitvA,aS#2,,,,,gerund,
asitvA,as#2,,,,,gerund,
astvA,as#2,,,,,gerund,
ASayitvA,aS#2,,,,,gerund,caus
AsayitvA,As#2,,,,,gerund,caus
AsayitvA,as#2,,,,,gerund,caus
AsitvA,As#2,,,,,gerund,
aSanAyitum,aSana#2,,,,,infinitive,
aSanIyitum,aSana#2,,,,,infinitive,
aSanya,aSana#2,,,,,gerund,
aSanAyitvA,aSana#2,,,,,gerund,
aSanIyitvA,aSana#2,,,,,gerund,
asUyitum,asUya,,,,,infinitive,
asUyya,asUya,,,,,gerund,
asUyitvA,asUya,,,,,gerund,
aSvasyitum,aSva,,,,,infinitive,
aSvAyitum,aSva,,,,,infinitive,
aSvya,aSva,,,,,gerund,
aSvasyitvA,aSva,,,,,gerund,
aSvAyitvA,aSva,,,,,gerund,
atat,at,2,1,pres,para,,
atanIya,at,2,,fut,pass,,
atamAna,at,2,1,pres,atma,,
atitavat,at,2,,past,active,,
atita,at,2,,past,pass,,
attavya,at,2,,fut,pass,,
atyamAna,at,2,,pres,pass,,
atya,at,2,,fut,pass,,
atsyat,at,2,,fut,para,,
atsyamAna,at,2,,fut,atma,,
AtAna,at,2,,perf,atma,,
Ativas,at,2,,perf,para,,
atitum,at,,,,,infinitive,
atya,at,,,,,gerund,
atitvA,at,,,,,gerund,
avat,av,,1,pres,para,,
avanIya,av,,,fut,pass,,
avamAna,av,,1,pres,atma,,
avitavat,av,,,past,active,,
avitavya,av,,,fut,pass,,
avita,av,,,past,pass,,
avizyat,av,,,fut,para,,
avizyamAna,av,,,fut,atma,,
avyamAna,av,,,pres,pass,,
avya,av,,,fut,pass,,
AvanIya,av,,,fut,pass,,caus
Avayat,av,,,pres,para,,caus
AvayamAna,av,,,pres,atma,,caus
Avayitavya,av,,,fut,pass,,caus
Avayizyat,av,,,fut,para,,caus
AvayizyamAna,av,,,fut,atma,,
AvayizyamAna,av,,,fut,atma,,caus
AvAna,av,,,perf,atma,,
Avitavat,av,,,past,active,,caus
Avita,av,,,past,pass,,caus
Avivas,av,,,perf,para,,
AvyamAna,av,,,pres,pass,,caus
Avya,av,,,fut,pass,,caus
avitum,av,,,,,infinitive,
avya,av,,,,,gerund,
Avayitum,av,,,,,infinitive,caus
Avya,av,,,,,gerund,caus
avitvA,av,,,,,gerund,
AvayitvA,av,,,,,gerund,caus
Avilayitum,Avila,,,,,infinitive,
Avilya,Avila,,,,,gerund,
AvilayitvA,Avila,,,,,gerund,
awat,aw,,1,pres,para,,
awanIya,aw,,,fut,pass,,
awamAna,aw,,1,pres,atma,,
awitavat,aw,,,past,active,,
awita,aw,,,past,pass,,
awwavya,aw,,,fut,pass,,
awyamAna,aw,,,pres,pass,,
awya,aw,,,fut,pass,,
awsyat,aw,,,fut,para,,
awsyamAna,aw,,,fut,atma,,
AwAna,aw,,,perf,atma,,
Awivas,aw,,,perf,para,,
awitum,aw,,,,,infinitive,
awya,aw,,,,,gerund,
awitvA,aw,,,,,gerund,
aktavat,aYc,1,,past,active,,
akta,aYc,1,,past,pass,,
aknavat,aYc,1,,past,active,,
akna,aYc,1,,past,pass,,
aNktavya,aYc,1,,fut,pass,,
aNkzyat,aYc,1,,fut,para,,
aNkzyamAna,aYc,1,,fut,atma,,
acat,aYc,1,1,pres,para,,
acamAna,aYc,1,1,pres,atma,,
acyamAna,aYc,1,,pres,pass,,
aYcat,aYc,1,1,pres,para,,
aYcanIya,aYc,1,,fut,pass,,
aYcanIya,aYc,1,,fut,pass,,caus
aYcamAna,aYc,1,1,pres,atma,,
aYcayat,aYc,1,,pres,para,,caus
aYcayamAna,aYc,1,,pres,atma,,caus
aYcayitavya,aYc,1,,fut,pass,,caus
aYcayizyat,aYc,1,,fut,para,,caus
aYcayizyamAna,aYc,1,,fut,atma,,
aYcayizyamAna,aYc,1,,fut,atma,,caus
aYcitavat,aYc,1,,past,active,,
aYcitavat,aYc,1,,past,active,,caus
aYcita,aYc,1,,past,pass,,
aYcita,aYc,1,,past,pass,,caus
aYcyamAna,aYc,1,,pres,pass,,caus
aYcya,aYc,1,,fut,pass,,
aYcya,aYc,1,,fut,pass,,caus
AnaYcAna,aYc,1,,perf,atma,,
AnaYcvas,aYc,1,,perf,para,,
akya,aYc,,,,,gerund,
acya,aYc,,,,,gerund,
aYcayitum,aYc,,,,,infinitive,caus
aYcitum,aYc,,,,,infinitive,
aYcya,aYc,,,,,gerund,caus
aktvA,aYc,,,,,gerund,
aYcayitvA,aYc,,,,,gerund,caus
aYcitvA,aYc,,,,,gerund,
aktavat,aYj,,,past,active,,
akta,aYj,,,past,pass,,
aNktavya,aYj,,,fut,pass,,
aNkzyat,aYj,,,fut,para,,
aNkzyamAna,aYj,,,fut,atma,,
ajyamAna,aYj,,,pres,pass,,
aYjat,aYj,,7,pres,para,,
aYjanIya,aYj,,,fut,pass,,
aYjanIya,aYj,,,fut,pass,,caus
aYjayat,aYj,,,pres,para,,caus
aYjayamAna,aYj,,,pres,atma,,caus
aYjayitavya,aYj,,,fut,pass,,caus
aYjayizyat,aYj,,,fut,para,,caus
aYjayizyamAna,aYj,,,fut,atma,,
aYjayizyamAna,aYj,,,fut,atma,,caus
aYjAna,aYj,,7,pres,atma,,
aYjitavat,aYj,,,past,active,,caus
aYjita,aYj,,,past,pass,,caus
aYjyamAna,aYj,,,pres,pass,,caus
aYjya,aYj,,,fut,pass,,
aYjya,aYj,,,fut,pass,,caus
AnaYjAna,aYj,,,perf,atma,,
AnaYjvas,aYj,,,perf,para,,
aNktum,aYj,,,,,infinitive,
ajya,aYj,,,,,gerund,
aYjayitum,aYj,,,,,infinitive,caus
aYjitum,aYj,,,,,infinitive,
aYjya,aYj,,,,,gerund,caus
aktvA,aYj,,,,,gerund,
aYjayitvA,aYj,,,,,gerund,caus
aYjitvA,aYj,,,,,gerund,
baBAna,BA,1,,perf,atma,,
baBivas,BA,1,,perf,para,,
BAtavat,BA,1,,past,active,,
BAtavya,BA,1,,fut,pass,,
BAta,BA,1,,past,pass,,
BAna,BA,1,2,pres,atma,,
BAnIya,BA,1,,fut,pass,,
BAyamAna,BA,1,,pres,pass,,
BAsyat,BA,1,,fut,para,,
BAsyamAna,BA,1,,fut,atma,,
Beya,BA,1,,fut,pass,,
BAtum,BA#1,,,,,infinitive,
BAya,BA#1,,,,,gerund,
BAtvA,BA#1,,,,,gerund,
babADAna,bAD,,,perf,atma,,
babADvas,bAD,,,perf,para,,
bAdDavya,bAD,,,fut,pass,,
bADat,bAD,,1,pres,para,,
bADanIya,bAD,,,fut,pass,,
bADanIya,bAD,,,fut,pass,,caus
bADamAna,bAD,,1,pres,atma,,
bADayat,bAD,,,pres,para,,caus
bADayamAna,bAD,,,pres,atma,,caus
bADayitavya,bAD,,,fut,pass,,caus
bADayizyat,bAD,,,fut,para,,caus
bADayizyamAna,bAD,,,fut,atma,,
bADayizyamAna,bAD,,,fut,atma,,caus
bADitavat,bAD,,,past,active,,
bADitavat,bAD,,,past,active,,caus
bADita,bAD,,,past,pass,,
bADita,bAD,,,past,pass,,caus
bADyamAna,bAD,,,pres,pass,,
bADyamAna,bAD,,,pres,pass,,caus
bADya,bAD,,,fut,pass,,
bADya,bAD,,,fut,pass,,caus
bibIBatsAna,bAD,,,perf,atma,,desid
bIBatsamAna,bAD,,,pres,atma,,desid
bIBatsitavat,bAD,,,past,active,,desid
bIBatsita,bAD,,,past,pass,,desid
BAtsyat,bAD,,,fut,para,,
BAtsyamAna,bAD,,,fut,atma,,
bADayitum,bAD,,,,,infinitive,caus
bADitum,bAD,,,,,infinitive,
bADya,bAD,,,,,gerund,
bIBatsitum,bAD,,,,,infinitive,desid
bIBatsya,bAD,,,,,gerund,desid
bADayitvA,bAD,,,,,gerund,caus
bADitvA,bAD,,,,,gerund,
bIBatsitvA,bAD,,,,,gerund,desid
biBikzARa,Baj,,,perf,atma,,desid
Baktavat,Baj,,,past,active,,
Baktavya,Baj,,,fut,pass,,
Bakta,Baj,,,past,pass,,
Bakzyat,Baj,,,fut,para,,
BakzyamAna,Baj,,,fut,atma,,
Bajat,Baj,,1,pres,para,,
BajanIya,Baj,,,fut,pass,,
BajamAna,Baj,,1,pres,atma,,
Bajitavya,Baj,,,fut,pass,,
Bajizyat,Baj,,,fut,para,,
BajizyamAna,Baj,,,fut,atma,,
BajyamAna,Baj,,,pres,pass,,
Bajya,Baj,,,fut,pass,,
BikzamAna,Baj,,,pres,atma,,desid
Bikzitavat,Baj,,,past,active,,desid
Bikzita,Baj,,,past,pass,,desid
BejAna,Baj,,,perf,atma,,
Bejivas,Baj,,,perf,para,,
Baktum,Baj,,,,,infinitive,
Bajitum,Baj,,,,,infinitive,
Bajya,Baj,,,,,gerund,
Bikzitum,Baj,,,,,infinitive,desid
Bikzya,Baj,,,,,gerund,desid
BaktvA,Baj,,,,,gerund,
BikzitvA,Baj,,,,,gerund,desid
baBakzARa,Bakz,,,perf,atma,,
baBakzvas,Bakz,,,perf,para,,
BakzaRIya,Bakz,,,fut,pass,,
BakzaRIya,Bakz,,,fut,pass,,caus
Bakzat,Bakz,,1,pres,para,,
BakzamAna,Bakz,,1,pres,atma,,
Bakzayat,Bakz,,,pres,para,,caus
BakzayamAna,Bakz,,,pres,atma,,caus
Bakzayitavya,Bakz,,,fut,pass,,caus
Bakzayizyat,Bakz,,,fut,para,,caus
BakzayizyamAna,Bakz,,,fut,atma,,
BakzayizyamAna,Bakz,,,fut,atma,,caus
Bakzitavat,Bakz,,,past,active,,
Bakzitavat,Bakz,,,past,active,,caus
Bakzita,Bakz,,,past,pass,,
Bakzita,Bakz,,,past,pass,,caus
Bakzyat,Bakz,,,fut,para,,
BakzyamAna,Bakz,,,fut,atma,,
BakzyamAna,Bakz,,,pres,pass,,
BakzyamAna,Bakz,,,pres,pass,,caus
Bakzya,Bakz,,,fut,pass,,
Bakzya,Bakz,,,fut,pass,,caus
Bazwavya,Bakz,,,fut,pass,,
Bakzayitum,Bakz,,,,,infinitive,caus
Bakzayya,Bakz,,,,,gerund,caus
Bakzitum,Bakz,,,,,infinitive,
Bakzya,Bakz,,,,,gerund,
BakzayitvA,Bakz,,,,,gerund,caus
BakzitvA,Bakz,,,,,gerund,
balat,bal,2,1,pres,para,,
balanIya,bal,2,,fut,pass,,
balamAna,bal,2,1,pres,atma,,
balitavya,bal,2,,fut,pass,,
balizyat,bal,2,,fut,para,,
balizyamAna,bal,2,,fut,atma,,
balyamAna,bal,2,,pres,pass,,
balya,bal,2,,fut,pass,,
belAna,bal,2,,perf,atma,,
belivas,bal,2,,perf,para,,
balitum,bal,,,,,infinitive,
baMhanIya,baMh,,,fut,pass,,
baMhanIya,baMh,,,fut,pass,,caus
baMhamAna,baMh,,1,pres,atma,,
baMhayat,baMh,,,pres,para,,caus
baMhayamAna,baMh,,,pres,atma,,caus
baMhayitavya,baMh,,,fut,pass,,caus
baMhayizyat,baMh,,,fut,para,,caus
baMhayizyamAna,baMh,,,fut,atma,,
baMhayizyamAna,baMh,,,fut,atma,,caus
baMhitavat,baMh,,,past,active,,caus
baMhitavya,baMh,,,fut,pass,,
baMhita,baMh,,,past,pass,,caus
baMhizyamAna,baMh,,,fut,atma,,
baMhyamAna,baMh,,,pres,pass,,caus
baMhya,baMh,,,fut,pass,,
baMhya,baMh,,,fut,pass,,caus
babaMhAna,baMh,,,perf,atma,,
bahyamAna,baMh,,,pres,pass,,
bAQavat,baMh,,,past,active,,
bAQa,baMh,,,past,pass,,
baMhayitum,baMh,,,,,infinitive,caus
baMhitum,baMh,,,,,infinitive,
baMhya,baMh,,,,,gerund,caus
bahya,baMh,,,,,gerund,
baMhayitvA,baMh,,,,,gerund,caus
bahitvA,baMh,,,,,gerund,
badDavat,banD,,,past,active,,
badDa,banD,,,past,pass,,
baDnat,banD,,9,pres,para,,
baDnAna,banD,,9,pres,atma,,
baDyamAna,banD,,,pres,pass,,
bandDavya,banD,,,fut,pass,,
banDanIya,banD,,,fut,pass,,
banDanIya,banD,,,fut,pass,,caus
banDayat,banD,,,pres,para,,caus
banDayamAna,banD,,,pres,atma,,caus
banDayitavya,banD,,,fut,pass,,caus
banDayizyat,banD,,,fut,para,,caus
banDayizyamAna,banD,,,fut,atma,,
banDayizyamAna,banD,,,fut,atma,,caus
banDitavat,banD,,,past,active,,caus
banDitavya,banD,,,fut,pass,,
banDita,banD,,,past,pass,,caus
banDizyat,banD,,,fut,para,,
banDizyamAna,banD,,,fut,atma,,
banDyamAna,banD,,,pres,pass,,caus
banDya,banD,,,fut,pass,,
banDya,banD,,,fut,pass,,caus
babanDAna,banD,,,perf,atma,,
babanDvas,banD,,,perf,para,,
baBandAna,Band,,,perf,atma,,
baBandvas,Band,,,perf,para,,
Banttavya,Band,,,fut,pass,,
Bantsyat,Band,,,fut,para,,
Bantsyat,banD,,,fut,para,,
BantsyamAna,Band,,,fut,atma,,
BantsyamAna,banD,,,fut,atma,,
Bandat,Band,,1,pres,para,,
BandanIya,Band,,,fut,pass,,
BandamAna,Band,,1,pres,atma,,
Banditavat,Band,,,past,active,,
Bandita,Band,,,past,pass,,
BandyamAna,Band,,,pres,pass,,
Bandya,Band,,,fut,pass,,
baDya,banD,,,,,gerund,
bandDum,banD,,,,,infinitive,
banDayitum,banD,,,,,infinitive,caus
banDitum,banD,,,,,infinitive,
banDya,banD,,,,,gerund,caus
Banditum,Band,,,,,infinitive,
Bandya,Band,,,,,gerund,
banDayitvA,banD,,,,,gerund,caus
banDitvA,banD,,,,,gerund,
BanditvA,Band,,,,,gerund,
baBaRAna,BaR,,,perf,atma,,
baBaRvas,BaR,,,perf,para,,
BaRat,BaR,,1,pres,para,,
BaRanIya,BaR,,,fut,pass,,
BaRamAna,BaR,,1,pres,atma,,
BaRitavat,BaR,,,past,active,,
BaRita,BaR,,,past,pass,,
BaRtavya,BaR,,,fut,pass,,
BaRyamAna,BaR,,,pres,pass,,
BaRya,BaR,,,fut,pass,,
BaRsyat,BaR,,,fut,para,,
BaRsyamAna,BaR,,,fut,atma,,
BaRitum,BaR,,,,,infinitive,
BaRya,BaR,,,,,gerund,
BaRitvA,BaR,,,,,gerund,
baBaRqAna,BaRq,,,perf,atma,,
baBaRqvas,BaRq,,,perf,para,,
BaRwwavya,BaRq,,,fut,pass,,
BaRqat,BaRq,,1,pres,para,,
BaRqanIya,BaRq,,,fut,pass,,
BaRqamAna,BaRq,,1,pres,atma,,
BaRqitavat,BaRq,,,past,active,,
BaRqita,BaRq,,,past,pass,,
BaRqyamAna,BaRq,,,pres,pass,,
BaRqya,BaRq,,,fut,pass,,
BaRqsyat,BaRq,,,fut,para,,
BaRqsyamAna,BaRq,,,fut,atma,,
BaRqitum,BaRq,,,,,infinitive,
BaRqya,BaRq,,,,,gerund,
BaRqitvA,BaRq,,,,,gerund,
baBartsAna,Barts,,,perf,atma,,
baBartsvas,Barts,,,perf,para,,
BartsanIya,Barts,,,fut,pass,,
Bartsayat,Barts,,10,pres,para,,
BartsayamAna,Barts,,10,pres,atma,,
Bartsayitavya,Barts,,,fut,pass,,
Bartsitavat,Barts,,,past,active,,
Bartsita,Barts,,,past,pass,,
Bartsyat,Barts,,,fut,para,,
BartsyamAna,Barts,,,fut,atma,,
BartsyamAna,Barts,,,pres,pass,,
Bartsya,Barts,,,fut,pass,,
Bartsayitum,Barts,,,,,infinitive,
Bartsya,Barts,,,,,gerund,
BartsayitvA,Barts,,,,,gerund,
baBasat,Bas,1,3,pres,para,,
baBasAna,Bas,1,3,pres,atma,,
baBasAna,Bas,1,,perf,atma,,
baBasvas,Bas,1,,perf,para,,
baBAsAna,BAs,1,,perf,atma,,
