verb,infinitve of purpose,past participle,active past participle,past passive participle,potential passive participle,root,stems,mode,voice,pos,modification
,,,,,,aBra,aBrAyitum,,,infinitive,
,,,,,,aBra,aBrya,,,gerund,
,,,,,,aBra,aBrAyitvA,,,gerund,
,,,,,,ad,attavat,past,active,,
,,,,,,ad,attavya,fut,pass,,
,,,,,,ad,atta,past,pass,,
,,,,,,ad,atsyat,fut,para,,
,,,,,,ad,atsyamAna,fut,atma,,
,,,,,,ad,adanIya,fut,pass,,
,,,,,,ad,adAna,pres,atma,,
,,,,,,ad,adyamAna,pres,pass,,
,,,,,,ad,adya,fut,pass,,
,,,,,,ad,AdanIya,fut,pass,,caus
,,,,,,ad,Adayat,pres,para,,caus
,,,,,,ad,AdayamAna,pres,atma,,caus
,,,,,,ad,Adayitavya,fut,pass,,caus
,,,,,,ad,Adayizyat,fut,para,,caus
,,,,,,ad,AdayizyamAna,fut,atma,,
,,,,,,ad,AdayizyamAna,fut,atma,,caus
,,,,,,ad,AdAna,perf,atma,,
,,,,,,ad,Aditavat,past,active,,caus
,,,,,,ad,Adita,past,pass,,caus
,,,,,,ad,Adivas,perf,para,,
,,,,,,ad,AdyamAna,pres,pass,,caus
,,,,,,ad,Adya,fut,pass,,caus
,,,,,,ad#1,attum,,,infinitive,
,,,,,,ad#1,adya,,,gerund,
,,,,,,ad#1,Adayitum,,,infinitive,caus
,,,,,,ad#1,Adya,,,gerund,caus
,,,,,,ad#1,attvA,,,gerund,
,,,,,,ad#1,AdayitvA,,,gerund,caus
,,,,,,aDvara,aDvarIyitum,,,infinitive,
,,,,,,aDvara,aDvarya,,,gerund,
,,,,,,aDvara,aDvaryitum,,,infinitive,
,,,,,,aDvara,aDvarIyitvA,,,gerund,
,,,,,,aDvara,aDvaryitvA,,,gerund,
,,,,,,aGa,aGAyitum,,,infinitive,
,,,,,,aGa,aGya,,,gerund,
,,,,,,aGa,aGAyitvA,,,gerund,
,,,,,,agada,agadya,,,gerund,
,,,,,,agada,agadyitum,,,infinitive,
,,,,,,agada,agadyitvA,,,gerund,
,,,,,,aj,aktavat,past,active,,
,,,,,,aj,aktavya,fut,pass,,
,,,,,,aj,akta,past,pass,,
,,,,,,aj,akzyat,fut,para,,
,,,,,,aj,akzyamAna,fut,atma,,
,,,,,,aj,ajat,pres,para,,
,,,,,,aj,ajanIya,fut,pass,,
,,,,,,aj,ajamAna,pres,atma,,
,,,,,,aj,ajyamAna,pres,pass,,
,,,,,,aj,ajya,fut,pass,,
,,,,,,aj,AjAna,perf,atma,,
,,,,,,aj,Ajivas,perf,para,,
,,,,,,aj,ajitum,,,infinitive,
,,,,,,aj,ajya,,,gerund,
,,,,,,aj,ajitvA,,,gerund,
,,,,,,ajira,ajirAyitum,,,infinitive,
,,,,,,ajira,ajirya,,,gerund,
,,,,,,ajira,ajirAyitvA,,,gerund,
,,,,,,AkarRa,AkarRayitum,,,infinitive,
,,,,,,AkarRa,AkarRya,,,gerund,
,,,,,,AkarRa,AkarRayitvA,,,gerund,
,,,,,,Akula,Akulayitum,,,infinitive,
,,,,,,Akula,Akulya,,,gerund,
,,,,,,Akula,AkulayitvA,,,gerund,
,,,,,,akz,akzaRIya,fut,pass,,
,,,,,,akz,akzat,pres,para,,
,,,,,,akz,akzamAna,pres,atma,,
,,,,,,akz,akzitavya,fut,pass,,
,,,,,,akz,akzizyat,fut,para,,
,,,,,,akz,akzizyamAna,fut,atma,,
,,,,,,akz,akzyat,fut,para,,
,,,,,,akz,akzyamAna,fut,atma,,
,,,,,,akz,akzyamAna,pres,pass,,
,,,,,,akz,akzya,fut,pass,,
,,,,,,akz,azwavya,fut,pass,,
,,,,,,akz,AnakzARa,perf,atma,,
,,,,,,akz,Anakzvas,perf,para,,
,,,,,,akz,akzitum,,,infinitive,
,,,,,,akz,azwum,,,infinitive,
,,,,,,am,amItum,,,infinitive,
,,,,,,am,Anya,,,gerund,
,,,,,,am,Amayitum,,,infinitive,caus
,,,,,,am,Amya,,,gerund,caus
,,,,,,am,amitvA,,,gerund,
,,,,,,am,AmayitvA,,,gerund,caus
,,,,,,amitra,amitrayitum,,,infinitive,
,,,,,,amitra,amitrya,,,gerund,
,,,,,,amitra,amitrayitvA,,,gerund,
,,,,,,aMSa,aMSayitum,,,infinitive,
,,,,,,aMSa,aMSya,,,gerund,
,,,,,,aMSa,aMSayitvA,,,gerund,
,,,,,,an,anat,pres,para,,
,,,,,,an,ananinizvas,perf,para,,desid
,,,,,,an,anAna,pres,atma,,
,,,,,,an,anitavat,past,active,,
,,,,,,an,anita,past,pass,,
,,,,,,an,aninizaRIya,fut,pass,,desid
,,,,,,an,aninizat,pres,para,,desid
,,,,,,an,aninizitavat,past,active,,desid
,,,,,,an,aninizita,past,pass,,desid
,,,,,,an,anizyat,fut,para,,
,,,,,,an,anizyamAna,fut,atma,,
,,,,,,an,AnanIya,fut,pass,,caus
,,,,,,an,Anayat,pres,para,,caus
,,,,,,an,AnayamAna,pres,atma,,caus
,,,,,,an,Anayizyat,fut,para,,caus
,,,,,,an,AnayizyamAna,fut,atma,,
,,,,,,an,AnayizyamAna,fut,atma,,caus
,,,,,,an,AnAna,perf,atma,,
,,,,,,an,Anitavat,past,active,,caus
,,,,,,an,Anita,past,pass,,caus
,,,,,,an,Anivas,perf,para,,
,,,,,,an,AnyamAna,pres,pass,,caus
,,,,,,an,Anya,fut,pass,,caus
,,,,,,an#2,anitum,,,infinitive,
,,,,,,an#2,aninizitum,,,infinitive,desid
,,,,,,an#2,aninizya,,,gerund,desid
,,,,,,an#2,anya,,,gerund,
,,,,,,an#2,Anayitum,,,infinitive,caus
,,,,,,an#2,Anya,,,gerund,caus
,,,,,,an#2,anitvA,,,gerund,
,,,,,,an#2,aninizitvA,,,gerund,desid
,,,,,,an#2,AnayitvA,,,gerund,caus
,,,,,,anDa,anDayitum,,,infinitive,
,,,,,,anDa,anDya,,,gerund,
,,,,,,anDa,anDayitvA,,,gerund,
,,,,,,aNg,aNkzyat,fut,para,,
,,,,,,aNg,aNkzyamAna,fut,atma,,
,,,,,,aNg,aNgat,pres,para,,
,,,,,,aNg,aNganIya,fut,pass,,
,,,,,,aNg,aNgamAna,pres,atma,,
,,,,,,aNg,aNgitavat,past,active,,
,,,,,,aNg,aNgita,past,pass,,
,,,,,,aNg,aNgtavya,fut,pass,,
,,,,,,aNg,aNgyamAna,pres,pass,,
,,,,,,aNg,aNgya,fut,pass,,
,,,,,,aNg,anaNgAna,perf,atma,,
,,,,,,aNg,anaNgvas,perf,para,,
,,,,,,aNg,aNgitum,,,infinitive,
,,,,,,aNg,aNgya,,,gerund,
,,,,,,aNg,aNgitvA,,,gerund,
,,,,,,aNka,aNkayitum,,,infinitive,
,,,,,,aNka,aNkya,,,gerund,
,,,,,,aNKa,aNKayitum,,,infinitive,
,,,,,,aNKa,aNKya,,,gerund,
,,,,,,aNka,aNkayitvA,,,gerund,
,,,,,,aNKa,aNKayitvA,,,gerund,
,,,,,,Ap,ApanIya,fut,pass,,
,,,,,,Ap,ApanIya,fut,pass,,caus
,,,,,,Ap,Apayat,pres,para,,caus
,,,,,,Ap,ApayamAna,pres,atma,,caus
,,,,,,Ap,Apayitavya,fut,pass,,caus
,,,,,,Ap,Apayizyat,fut,para,,caus
,,,,,,Ap,ApayizyamAna,fut,atma,,
,,,,,,Ap,ApayizyamAna,fut,atma,,caus
,,,,,,Ap,ApAna,perf,atma,,
,,,,,,Ap,Apitavat,past,active,,caus
,,,,,,Ap,Apita,past,pass,,caus
,,,,,,Ap,Apivas,perf,para,,
,,,,,,Ap,Aptavat,past,active,,
,,,,,,Ap,Aptavya,fut,pass,,
,,,,,,Ap,Apta,past,pass,,
,,,,,,Ap,Apnuvat,pres,para,,
,,,,,,Ap,ApnvAna,pres,atma,,
,,,,,,Ap,ApyamAna,pres,pass,,
,,,,,,Ap,ApyamAna,pres,pass,,caus
,,,,,,Ap,Apya,fut,pass,,
,,,,,,Ap,Apya,fut,pass,,caus
,,,,,,Ap,Apsyat,fut,para,,
,,,,,,Ap,ApsyamAna,fut,atma,,
,,,,,,Ap,Ipsat,pres,para,,desid
,,,,,,Ap,IpsanIya,fut,pass,,desid
,,,,,,Ap,Ipsitavat,past,active,,desid
,,,,,,Ap,Ipsita,past,pass,,desid
,,,,,,Ap,Ipsivas,perf,para,,desid
,,,,,,Ap,Apayitum,,,infinitive,caus
,,,,,,Ap,Apayya,,,gerund,caus
,,,,,,Ap,Aptum,,,infinitive,
,,,,,,Ap,Apya,,,gerund,
,,,,,,Ap,Ipsitum,,,infinitive,desid
,,,,,,Ap,Ipsya,,,gerund,desid
,,,,,,Ap,ApayitvA,,,gerund,caus
,,,,,,Ap,AptvA,,,gerund,
,,,,,,Ap,IpsitvA,,,gerund,desid
,,,,,,apsaras,apsaraya,,,gerund,
,,,,,,apsaras,apsarAyitum,,,infinitive,
,,,,,,apsaras,apsarAyitvA,,,gerund,
,,,,,,ard,anardAna,perf,atma,,
,,,,,,ard,anardvas,perf,para,,
,,,,,,ard,arttavya,fut,pass,,
,,,,,,ard,artsyat,fut,para,,
,,,,,,ard,artsyamAna,fut,atma,,
,,,,,,ard,ardat,pres,para,,
,,,,,,ard,ardanIya,fut,pass,,
,,,,,,ard,ardamAna,pres,atma,,
,,,,,,ard,arditavat,past,active,,
,,,,,,ard,ardita,past,pass,,
,,,,,,ard,ardyamAna,pres,pass,,
,,,,,,ard,ardya,fut,pass,,
,,,,,,ard,arditum,,,infinitive,
,,,,,,ard,ardya,,,gerund,
,,,,,,ard,arditvA,,,gerund,
,,,,,,arh,anarhARa,perf,atma,,
,,,,,,arh,anarhvas,perf,para,,
,,,,,,arh,arkzyat,fut,para,,
,,,,,,arh,arkzyamAna,fut,atma,,
,,,,,,arh,arQavya,fut,pass,,
,,,,,,arh,arhaRIya,fut,pass,,
,,,,,,arh,arhaRIya,fut,pass,,caus
,,,,,,arh,arhat,pres,para,,
,,,,,,arh,arhamAna,pres,atma,,
,,,,,,arh,arhayat,pres,para,,caus
,,,,,,arh,arhayamAna,pres,atma,,caus
,,,,,,arh,arhayitavya,fut,pass,,caus
,,,,,,arh,arhayizyat,fut,para,,caus
,,,,,,arh,arhayizyamAna,fut,atma,,
,,,,,,arh,arhayizyamAna,fut,atma,,caus
,,,,,,arh,arhitavat,past,active,,
,,,,,,arh,arhitavat,past,active,,caus
,,,,,,arh,arhita,past,pass,,
,,,,,,arh,arhita,past,pass,,caus
,,,,,,arh,arhyamAna,pres,pass,,
,,,,,,arh,arhyamAna,pres,pass,,caus
,,,,,,arh,arhya,fut,pass,,
,,,,,,arh,arhya,fut,pass,,caus
,,,,,,arh,arhayitum,,,infinitive,caus
,,,,,,arh,arhitum,,,infinitive,
,,,,,,arh,arhya,,,gerund,
,,,,,,arh,arhayitvA,,,gerund,caus
,,,,,,arh,arhitvA,,,gerund,
,,,,,,arT,anarTAna,perf,atma,,
,,,,,,arT,anarTvas,perf,para,,
,,,,,,arT,arTanIya,fut,pass,,
,,,,,,arT,arTayat,pres,para,,
,,,,,,arT,arTayamAna,pres,atma,,
,,,,,,arT,arTayitavya,fut,pass,,
,,,,,,arT,arTayizyat,fut,para,,
,,,,,,arT,arTayizyamAna,fut,atma,,
,,,,,,arT,arTitavat,past,active,,
,,,,,,arT,arTita,past,pass,,
,,,,,,arT,arTyamAna,pres,pass,,
,,,,,,arT,arTya,fut,pass,,
,,,,,,arT,arTayitum,,,infinitive,
,,,,,,arT,arTya,,,gerund,
,,,,,,arT,arTayitvA,,,gerund,
,,,,,,as,asat,pres,para,,
,,,,,,as,asanIya,fut,pass,,
,,,,,,as,asamAna,pres,atma,,
,,,,,,as,asitavya,fut,pass,,
,,,,,,as,asizyat,fut,para,,
,,,,,,as,asizyamAna,fut,atma,,
,,,,,,as,astavat,past,active,,
,,,,,,as,asta,past,pass,,
,,,,,,as,asyat,pres,para,,
,,,,,,as,asyamAna,pres,atma,,
,,,,,,as,asyamAna,pres,pass,,
,,,,,,as,asya,fut,pass,,
,,,,,,As,AsanIya,fut,pass,,
,,,,,,As,AsanIya,fut,pass,,caus
,,,,,,as,AsanIya,fut,pass,,caus
,,,,,,As,Asayat,pres,para,,caus
,,,,,,as,Asayat,pres,para,,caus
,,,,,,As,AsayamAna,pres,atma,,caus
,,,,,,as,AsayamAna,pres,atma,,caus
,,,,,,As,Asayitavya,fut,pass,,caus
,,,,,,as,Asayitavya,fut,pass,,caus
,,,,,,as,Asayizyat,fut,para,,caus
,,,,,,As,AsayizyamAna,fut,atma,,
,,,,,,As,AsayizyamAna,fut,atma,,caus
,,,,,,as,AsayizyamAna,fut,atma,,
,,,,,,as,AsayizyamAna,fut,atma,,caus
,,,,,,as,AsAna,perf,atma,,
,,,,,,As,Asitavat,past,active,,
,,,,,,As,Asitavat,past,active,,caus
,,,,,,as,Asitavat,past,active,,caus
,,,,,,As,Asitavya,fut,pass,,
,,,,,,As,Asita,past,pass,,
,,,,,,As,Asita,past,pass,,caus
,,,,,,as,Asita,past,pass,,caus
,,,,,,as,Asivas,perf,para,,
,,,,,,as,Asivas,perf,para,,
,,,,,,As,AsizyamAna,fut,atma,,
,,,,,,As,AsIna,pres,atma,,
,,,,,,As,AsIna,perf,atma,,
,,,,,,As,AsyamAna,pres,pass,,
,,,,,,As,AsyamAna,pres,pass,,caus
,,,,,,as,AsyamAna,pres,pass,,caus
,,,,,,As,Asya,fut,pass,,
,,,,,,As,Asya,fut,pass,,caus
,,,,,,as,Asya,fut,pass,,caus
,,,,,,as,sat,pres,para,,
,,,,,,aS#1,aSitum,,,infinitive,
,,,,,,aS#1,aSya,,,gerund,
,,,,,,as#1,asitum,,,infinitive,
,,,,,,aS#1,aSitvA,,,gerund,
,,,,,,aS#1,azwvA,,,gerund,
,,,,,,aS#2,aSitum,,,infinitive,
,,,,,,aS#2,aSya,,,gerund,
,,,,,,as#2,asitum,,,infinitive,
,,,,,,as#2,asya,,,gerund,
,,,,,,aS#2,ASayitum,,,infinitive,caus
,,,,,,aS#2,ASya,,,gerund,caus
,,,,,,as#2,Asam,,,gerund,
,,,,,,As#2,Asayitum,,,infinitive,caus
,,,,,,as#2,Asayitum,,,infinitive,caus
,,,,,,As#2,Asitum,,,infinitive,
,,,,,,As#2,Asya,,,gerund,
,,,,,,as#2,Asya,,,gerund,caus
,,,,,,aS#2,aSitvA,,,gerund,
,,,,,,as#2,asitvA,,,gerund,
,,,,,,as#2,astvA,,,gerund,
,,,,,,aS#2,ASayitvA,,,gerund,caus
,,,,,,As#2,AsayitvA,,,gerund,caus
,,,,,,as#2,AsayitvA,,,gerund,caus
,,,,,,As#2,AsitvA,,,gerund,
,,,,,,aSana#2,aSanAyitum,,,infinitive,
,,,,,,aSana#2,aSanIyitum,,,infinitive,
,,,,,,aSana#2,aSanya,,,gerund,
,,,,,,aSana#2,aSanAyitvA,,,gerund,
,,,,,,aSana#2,aSanIyitvA,,,gerund,
,,,,,,asUya,asUyitum,,,infinitive,
,,,,,,asUya,asUyya,,,gerund,
,,,,,,asUya,asUyitvA,,,gerund,
,,,,,,aSva,aSvasyitum,,,infinitive,
,,,,,,aSva,aSvAyitum,,,infinitive,
,,,,,,aSva,aSvya,,,gerund,
,,,,,,aSva,aSvasyitvA,,,gerund,
,,,,,,aSva,aSvAyitvA,,,gerund,
,,,,,,at,atat,pres,para,,
,,,,,,at,atanIya,fut,pass,,
,,,,,,at,atamAna,pres,atma,,
,,,,,,at,atitavat,past,active,,
,,,,,,at,atita,past,pass,,
,,,,,,at,attavya,fut,pass,,
,,,,,,at,atyamAna,pres,pass,,
,,,,,,at,atya,fut,pass,,
,,,,,,at,atsyat,fut,para,,
,,,,,,at,atsyamAna,fut,atma,,
,,,,,,at,AtAna,perf,atma,,
,,,,,,at,Ativas,perf,para,,
,,,,,,at,atitum,,,infinitive,
,,,,,,at,atya,,,gerund,
,,,,,,at,atitvA,,,gerund,
,,,,,,av,avat,pres,para,,
,,,,,,av,avanIya,fut,pass,,
,,,,,,av,avamAna,pres,atma,,
,,,,,,av,avitavat,past,active,,
,,,,,,av,avitavya,fut,pass,,
,,,,,,av,avita,past,pass,,
,,,,,,av,avizyat,fut,para,,
,,,,,,av,avizyamAna,fut,atma,,
,,,,,,av,avyamAna,pres,pass,,
,,,,,,av,avya,fut,pass,,
,,,,,,av,AvanIya,fut,pass,,caus
,,,,,,av,Avayat,pres,para,,caus
,,,,,,av,AvayamAna,pres,atma,,caus
,,,,,,av,Avayitavya,fut,pass,,caus
,,,,,,av,Avayizyat,fut,para,,caus
,,,,,,av,AvayizyamAna,fut,atma,,
,,,,,,av,AvayizyamAna,fut,atma,,caus
,,,,,,av,AvAna,perf,atma,,
,,,,,,av,Avitavat,past,active,,caus
,,,,,,av,Avita,past,pass,,caus
,,,,,,av,Avivas,perf,para,,
,,,,,,av,AvyamAna,pres,pass,,caus
,,,,,,av,Avya,fut,pass,,caus
,,,,,,av,avitum,,,infinitive,
,,,,,,av,avya,,,gerund,
,,,,,,av,Avayitum,,,infinitive,caus
,,,,,,av,Avya,,,gerund,caus
,,,,,,av,avitvA,,,gerund,
,,,,,,av,AvayitvA,,,gerund,caus
,,,,,,Avila,Avilayitum,,,infinitive,
,,,,,,Avila,Avilya,,,gerund,
,,,,,,Avila,AvilayitvA,,,gerund,
,,,,,,aw,awat,pres,para,,
,,,,,,aw,awanIya,fut,pass,,
,,,,,,aw,awamAna,pres,atma,,
,,,,,,aw,awitavat,past,active,,
,,,,,,aw,awita,past,pass,,
,,,,,,aw,awwavya,fut,pass,,
,,,,,,aw,awyamAna,pres,pass,,
,,,,,,aw,awya,fut,pass,,
,,,,,,aw,awsyat,fut,para,,
,,,,,,aw,awsyamAna,fut,atma,,
,,,,,,aw,AwAna,perf,atma,,
,,,,,,aw,Awivas,perf,para,,
,,,,,,aw,awitum,,,infinitive,
,,,,,,aw,awya,,,gerund,
,,,,,,aw,awitvA,,,gerund,
,,,,,,aYc,aktavat,past,active,,
,,,,,,aYc,akta,past,pass,,
,,,,,,aYc,aknavat,past,active,,
,,,,,,aYc,akna,past,pass,,
,,,,,,aYc,aNktavya,fut,pass,,
,,,,,,aYc,aNkzyat,fut,para,,
,,,,,,aYc,aNkzyamAna,fut,atma,,
,,,,,,aYc,acat,pres,para,,
,,,,,,aYc,acamAna,pres,atma,,
,,,,,,aYc,acyamAna,pres,pass,,
,,,,,,aYc,aYcat,pres,para,,
,,,,,,aYc,aYcanIya,fut,pass,,
,,,,,,aYc,aYcanIya,fut,pass,,caus
,,,,,,aYc,aYcamAna,pres,atma,,
,,,,,,aYc,aYcayat,pres,para,,caus
,,,,,,aYc,aYcayamAna,pres,atma,,caus
,,,,,,aYc,aYcayitavya,fut,pass,,caus
,,,,,,aYc,aYcayizyat,fut,para,,caus
,,,,,,aYc,aYcayizyamAna,fut,atma,,
,,,,,,aYc,aYcayizyamAna,fut,atma,,caus
,,,,,,aYc,aYcitavat,past,active,,
,,,,,,aYc,aYcitavat,past,active,,caus
,,,,,,aYc,aYcita,past,pass,,
,,,,,,aYc,aYcita,past,pass,,caus
,,,,,,aYc,aYcyamAna,pres,pass,,caus
,,,,,,aYc,aYcya,fut,pass,,
,,,,,,aYc,aYcya,fut,pass,,caus
,,,,,,aYc,AnaYcAna,perf,atma,,
,,,,,,aYc,AnaYcvas,perf,para,,
,,,,,,aYc,akya,,,gerund,
,,,,,,aYc,acya,,,gerund,
,,,,,,aYc,aYcayitum,,,infinitive,caus
,,,,,,aYc,aYcitum,,,infinitive,
,,,,,,aYc,aYcya,,,gerund,caus
,,,,,,aYc,aktvA,,,gerund,
,,,,,,aYc,aYcayitvA,,,gerund,caus
,,,,,,aYc,aYcitvA,,,gerund,
,,,,,,aYj,aktavat,past,active,,
,,,,,,aYj,akta,past,pass,,
,,,,,,aYj,aNktavya,fut,pass,,
,,,,,,aYj,aNkzyat,fut,para,,
,,,,,,aYj,aNkzyamAna,fut,atma,,
,,,,,,aYj,ajyamAna,pres,pass,,
,,,,,,aYj,aYjat,pres,para,,
,,,,,,aYj,aYjanIya,fut,pass,,
,,,,,,aYj,aYjanIya,fut,pass,,caus
,,,,,,aYj,aYjayat,pres,para,,caus
,,,,,,aYj,aYjayamAna,pres,atma,,caus
,,,,,,aYj,aYjayitavya,fut,pass,,caus
,,,,,,aYj,aYjayizyat,fut,para,,caus
,,,,,,aYj,aYjayizyamAna,fut,atma,,
,,,,,,aYj,aYjayizyamAna,fut,atma,,caus
,,,,,,aYj,aYjAna,pres,atma,,
,,,,,,aYj,aYjitavat,past,active,,caus
,,,,,,aYj,aYjita,past,pass,,caus
,,,,,,aYj,aYjyamAna,pres,pass,,caus
,,,,,,aYj,aYjya,fut,pass,,
,,,,,,aYj,aYjya,fut,pass,,caus
,,,,,,aYj,AnaYjAna,perf,atma,,
,,,,,,aYj,AnaYjvas,perf,para,,
,,,,,,aYj,aNktum,,,infinitive,
,,,,,,aYj,ajya,,,gerund,
,,,,,,aYj,aYjayitum,,,infinitive,caus
,,,,,,aYj,aYjitum,,,infinitive,
,,,,,,aYj,aYjya,,,gerund,caus
,,,,,,aYj,aktvA,,,gerund,
,,,,,,aYj,aYjayitvA,,,gerund,caus
,,,,,,aYj,aYjitvA,,,gerund,
,,,,,,BA,baBAna,perf,atma,,
,,,,,,BA,baBivas,perf,para,,
,,,,,,BA,BAtavat,past,active,,
,,,,,,BA,BAtavya,fut,pass,,
,,,,,,BA,BAta,past,pass,,
,,,,,,BA,BAna,pres,atma,,
,,,,,,BA,BAnIya,fut,pass,,
,,,,,,BA,BAyamAna,pres,pass,,
,,,,,,BA,BAsyat,fut,para,,
,,,,,,BA,BAsyamAna,fut,atma,,
,,,,,,BA,Beya,fut,pass,,
,,,,,,BA#1,BAtum,,,infinitive,
,,,,,,BA#1,BAya,,,gerund,
,,,,,,BA#1,BAtvA,,,gerund,
,,,,,,bAD,babADAna,perf,atma,,
,,,,,,bAD,babADvas,perf,para,,
,,,,,,bAD,bAdDavya,fut,pass,,
,,,,,,bAD,bADat,pres,para,,
,,,,,,bAD,bADanIya,fut,pass,,
,,,,,,bAD,bADanIya,fut,pass,,caus
,,,,,,bAD,bADamAna,pres,atma,,
,,,,,,bAD,bADayat,pres,para,,caus
,,,,,,bAD,bADayamAna,pres,atma,,caus
,,,,,,bAD,bADayitavya,fut,pass,,caus
,,,,,,bAD,bADayizyat,fut,para,,caus
,,,,,,bAD,bADayizyamAna,fut,atma,,
,,,,,,bAD,bADayizyamAna,fut,atma,,caus
,,,,,,bAD,bADitavat,past,active,,
,,,,,,bAD,bADitavat,past,active,,caus
,,,,,,bAD,bADita,past,pass,,
,,,,,,bAD,bADita,past,pass,,caus
,,,,,,bAD,bADyamAna,pres,pass,,
,,,,,,bAD,bADyamAna,pres,pass,,caus
,,,,,,bAD,bADya,fut,pass,,
,,,,,,bAD,bADya,fut,pass,,caus
,,,,,,bAD,bibIBatsAna,perf,atma,,desid
,,,,,,bAD,bIBatsamAna,pres,atma,,desid
,,,,,,bAD,bIBatsitavat,past,active,,desid
,,,,,,bAD,bIBatsita,past,pass,,desid
,,,,,,bAD,BAtsyat,fut,para,,
,,,,,,bAD,BAtsyamAna,fut,atma,,
,,,,,,bAD,bADayitum,,,infinitive,caus
,,,,,,bAD,bADitum,,,infinitive,
,,,,,,bAD,bADya,,,gerund,
,,,,,,bAD,bIBatsitum,,,infinitive,desid
,,,,,,bAD,bIBatsya,,,gerund,desid
,,,,,,bAD,bADayitvA,,,gerund,caus
,,,,,,bAD,bADitvA,,,gerund,
,,,,,,bAD,bIBatsitvA,,,gerund,desid
,,,,,,Baj,biBikzARa,perf,atma,,desid
,,,,,,Baj,Baktavat,past,active,,
,,,,,,Baj,Baktavya,fut,pass,,
,,,,,,Baj,Bakta,past,pass,,
,,,,,,Baj,Bakzyat,fut,para,,
,,,,,,Baj,BakzyamAna,fut,atma,,
,,,,,,Baj,Bajat,pres,para,,
,,,,,,Baj,BajanIya,fut,pass,,
,,,,,,Baj,BajamAna,pres,atma,,
,,,,,,Baj,Bajitavya,fut,pass,,
,,,,,,Baj,Bajizyat,fut,para,,
,,,,,,Baj,BajizyamAna,fut,atma,,
,,,,,,Baj,BajyamAna,pres,pass,,
,,,,,,Baj,Bajya,fut,pass,,
,,,,,,Baj,BikzamAna,pres,atma,,desid
,,,,,,Baj,Bikzitavat,past,active,,desid
,,,,,,Baj,Bikzita,past,pass,,desid
,,,,,,Baj,BejAna,perf,atma,,
,,,,,,Baj,Bejivas,perf,para,,
,,,,,,Baj,Baktum,,,infinitive,
,,,,,,Baj,Bajitum,,,infinitive,
,,,,,,Baj,Bajya,,,gerund,
,,,,,,Baj,Bikzitum,,,infinitive,desid
,,,,,,Baj,Bikzya,,,gerund,desid
,,,,,,Baj,BaktvA,,,gerund,
,,,,,,Baj,BikzitvA,,,gerund,desid
,,,,,,Bakz,baBakzARa,perf,atma,,
,,,,,,Bakz,baBakzvas,perf,para,,
,,,,,,Bakz,BakzaRIya,fut,pass,,
,,,,,,Bakz,BakzaRIya,fut,pass,,caus
,,,,,,Bakz,Bakzat,pres,para,,
,,,,,,Bakz,BakzamAna,pres,atma,,
,,,,,,Bakz,Bakzayat,pres,para,,caus
,,,,,,Bakz,BakzayamAna,pres,atma,,caus
,,,,,,Bakz,Bakzayitavya,fut,pass,,caus
,,,,,,Bakz,Bakzayizyat,fut,para,,caus
,,,,,,Bakz,BakzayizyamAna,fut,atma,,
,,,,,,Bakz,BakzayizyamAna,fut,atma,,caus
,,,,,,Bakz,Bakzitavat,past,active,,
,,,,,,Bakz,Bakzitavat,past,active,,caus
,,,,,,Bakz,Bakzita,past,pass,,
,,,,,,Bakz,Bakzita,past,pass,,caus
,,,,,,Bakz,Bakzyat,fut,para,,
,,,,,,Bakz,BakzyamAna,fut,atma,,
,,,,,,Bakz,BakzyamAna,pres,pass,,
,,,,,,Bakz,BakzyamAna,pres,pass,,caus
,,,,,,Bakz,Bakzya,fut,pass,,
,,,,,,Bakz,Bakzya,fut,pass,,caus
,,,,,,Bakz,Bazwavya,fut,pass,,
,,,,,,Bakz,Bakzayitum,,,infinitive,caus
,,,,,,Bakz,Bakzayya,,,gerund,caus
,,,,,,Bakz,Bakzitum,,,infinitive,
,,,,,,Bakz,Bakzya,,,gerund,
,,,,,,Bakz,BakzayitvA,,,gerund,caus
,,,,,,Bakz,BakzitvA,,,gerund,
,,,,,,bal,balat,pres,para,,
,,,,,,bal,balanIya,fut,pass,,
,,,,,,bal,balamAna,pres,atma,,
,,,,,,bal,balitavya,fut,pass,,
,,,,,,bal,balizyat,fut,para,,
,,,,,,bal,balizyamAna,fut,atma,,
,,,,,,bal,balyamAna,pres,pass,,
,,,,,,bal,balya,fut,pass,,
,,,,,,bal,belAna,perf,atma,,
,,,,,,bal,belivas,perf,para,,
,,,,,,bal,balitum,,,infinitive,
,,,,,,baMh,baMhanIya,fut,pass,,
,,,,,,baMh,baMhanIya,fut,pass,,caus
,,,,,,baMh,baMhamAna,pres,atma,,
,,,,,,baMh,baMhayat,pres,para,,caus
,,,,,,baMh,baMhayamAna,pres,atma,,caus
,,,,,,baMh,baMhayitavya,fut,pass,,caus
,,,,,,baMh,baMhayizyat,fut,para,,caus
,,,,,,baMh,baMhayizyamAna,fut,atma,,
,,,,,,baMh,baMhayizyamAna,fut,atma,,caus
,,,,,,baMh,baMhitavat,past,active,,caus
,,,,,,baMh,baMhitavya,fut,pass,,
,,,,,,baMh,baMhita,past,pass,,caus
,,,,,,baMh,baMhizyamAna,fut,atma,,
,,,,,,baMh,baMhyamAna,pres,pass,,caus
,,,,,,baMh,baMhya,fut,pass,,
,,,,,,baMh,baMhya,fut,pass,,caus
