form,root,hom,class,person,number,mode,voice,modification
akaRqayat,kaRq,,10,3,s,ipft,para,
akaRqayata,kaRq,,10,3,s,ipft,atma,
akaRqayatam,kaRq,,10,2,d,ipft,para,
akaRqayatAm,kaRq,,10,3,d,ipft,para,
akaRqayaTAs,kaRq,,10,2,s,ipft,atma,
akaRqayaDvam,kaRq,,10,2,p,ipft,atma,
akaRqayan,kaRq,,10,3,p,ipft,para,
akaRqayanta,kaRq,,10,3,p,ipft,atma,
akaRqayam,kaRq,,10,1,s,ipft,para,
akaRqayas,kaRq,,10,2,s,ipft,para,
akaRqayAma,kaRq,,10,1,p,ipft,para,
akaRqayAmahi,kaRq,,10,1,p,ipft,atma,
akaRqayAva,kaRq,,10,1,d,ipft,para,
akaRqayAvahi,kaRq,,10,1,d,ipft,atma,
akaRqaye,kaRq,,10,1,s,ipft,atma,
akaRqayetAm,kaRq,,10,3,d,ipft,atma,
akaRqayeTAm,kaRq,,10,2,d,ipft,atma,
akaRqyata,kaRq,,,3,s,ipft,pass,
akaRqyaTAs,kaRq,,,2,s,ipft,pass,
akaRqyaDvam,kaRq,,,2,p,ipft,pass,
akaRqyanta,kaRq,,,3,p,ipft,pass,
akaRqyAmahi,kaRq,,,1,p,ipft,pass,
akaRqyAvahi,kaRq,,,1,d,ipft,pass,
akaRqye,kaRq,,,1,s,ipft,pass,
akaRqyetAm,kaRq,,,3,d,ipft,pass,
akaRqyeTAm,kaRq,,,2,d,ipft,pass,
akatTata,katT,,1,3,s,ipft,atma,
akatTaTAs,katT,,1,2,s,ipft,atma,
akatTaDvam,katT,,1,2,p,ipft,atma,
akatTanta,katT,,1,3,p,ipft,atma,
akatTAmahi,katT,,1,1,p,ipft,atma,
akatTAvahi,katT,,1,1,d,ipft,atma,
akatTe,katT,,1,1,s,ipft,atma,
akatTetAm,katT,,1,3,d,ipft,atma,
akatTeTAm,katT,,1,2,d,ipft,atma,
akatTyata,katT,,,3,s,ipft,pass,
akatTyaTAs,katT,,,2,s,ipft,pass,
akatTyaDvam,katT,,,2,p,ipft,pass,
akatTyanta,katT,,,3,p,ipft,pass,
akatTyAmahi,katT,,,1,p,ipft,pass,
akatTyAvahi,katT,,,1,d,ipft,pass,
akatTye,katT,,,1,s,ipft,pass,
akatTyetAm,katT,,,3,d,ipft,pass,
akatTyeTAm,katT,,,2,d,ipft,pass,
akaTayat,kaT,,10,3,s,ipft,para,
akaTayata,kaT,,10,3,s,ipft,atma,
akaTayatam,kaT,,10,2,d,ipft,para,
akaTayatAm,kaT,,10,3,d,ipft,para,
akaTayaTAs,kaT,,10,2,s,ipft,atma,
akaTayaDvam,kaT,,10,2,p,ipft,atma,
akaTayan,kaT,,10,3,p,ipft,para,
akaTayanta,kaT,,10,3,p,ipft,atma,
akaTayam,kaT,,10,1,s,ipft,para,
akaTayas,kaT,,10,2,s,ipft,para,
akaTayAma,kaT,,10,1,p,ipft,para,
akaTayAmahi,kaT,,10,1,p,ipft,atma,
akaTayAva,kaT,,10,1,d,ipft,para,
akaTayAvahi,kaT,,10,1,d,ipft,atma,
akaTaye,kaT,,10,1,s,ipft,atma,
akaTayetAm,kaT,,10,3,d,ipft,atma,
akaTayeTAm,kaT,,10,2,d,ipft,atma,
akaTyata,kaT,,,3,s,ipft,pass,
akaTyaTAs,kaT,,,2,s,ipft,pass,
akaTyaDvam,kaT,,,2,p,ipft,pass,
akaTyanta,kaT,,,3,p,ipft,pass,
akaTyAmahi,kaT,,,1,p,ipft,pass,
akaTyAvahi,kaT,,,1,d,ipft,pass,
akaTye,kaT,,,1,s,ipft,pass,
akaTyetAm,kaT,,,3,d,ipft,pass,
akaTyeTAm,kaT,,,2,d,ipft,pass,
akampata,kamp,,1,3,s,ipft,atma,
akampaTAs,kamp,,1,2,s,ipft,atma,
akampaDvam,kamp,,1,2,p,ipft,atma,
akampanta,kamp,,1,3,p,ipft,atma,
akampayat,kamp,,,3,s,ipft,para,caus
akampayata,kamp,,,3,s,ipft,atma,caus
akampayatam,kamp,,,2,d,ipft,para,caus
akampayatAm,kamp,,,3,d,ipft,para,caus
akampayaTAs,kamp,,,2,s,ipft,atma,caus
akampayaDvam,kamp,,,2,p,ipft,atma,caus
akampayan,kamp,,,3,p,ipft,para,caus
akampayanta,kamp,,,3,p,ipft,atma,caus
akampayam,kamp,,,1,s,ipft,para,caus
akampayas,kamp,,,2,s,ipft,para,caus
akampayAma,kamp,,,1,p,ipft,para,caus
akampayAmahi,kamp,,,1,p,ipft,atma,caus
akampayAva,kamp,,,1,d,ipft,para,caus
akampayAvahi,kamp,,,1,d,ipft,atma,caus
akampaye,kamp,,,1,s,ipft,atma,caus
akampayetAm,kamp,,,3,d,ipft,atma,caus
akampayeTAm,kamp,,,2,d,ipft,atma,caus
akampAmahi,kamp,,1,1,p,ipft,atma,
akampAvahi,kamp,,1,1,d,ipft,atma,
akampe,kamp,,1,1,s,ipft,atma,
akampetAm,kamp,,1,3,d,ipft,atma,
akampeTAm,kamp,,1,2,d,ipft,atma,
akampyata,kamp,,,3,s,ipft,pass,
akampyaTAs,kamp,,,2,s,ipft,pass,
akampyaDvam,kamp,,,2,p,ipft,pass,
akampyanta,kamp,,,3,p,ipft,pass,
akampyAmahi,kamp,,,1,p,ipft,pass,
akampyAvahi,kamp,,,1,d,ipft,pass,
akampye,kamp,,,1,s,ipft,pass,
akampyetAm,kamp,,,3,d,ipft,pass,
akampyeTAm,kamp,,,2,d,ipft,pass,
akar,kf,1,,3,s,aor,para,
akaram,kf,1,,1,s,aor,para,
akaravam,kf,1,8,1,s,ipft,para,
akarizyat,kf,1,,3,s,cond,para,
akarizyata,kf,1,,3,s,cond,atma,
akarizyatam,kf,1,,2,d,cond,para,
akarizyatAm,kf,1,,3,d,cond,para,
akarizyaTAs,kf,1,,2,s,cond,atma,
akarizyaDvam,kf,1,,2,p,cond,atma,
akarizyan,kf,1,,3,p,cond,para,
akarizyanta,kf,1,,3,p,cond,atma,
akarizyam,kf,1,,1,s,cond,para,
akarizyas,kf,1,,2,s,cond,para,
akarizyAma,kf,1,,1,p,cond,para,
akarizyAmahi,kf,1,,1,p,cond,atma,
akarizyAva,kf,1,,1,d,cond,para,
akarizyAvahi,kf,1,,1,d,cond,atma,
akarizye,kf,1,,1,s,cond,atma,
akarizyetAm,kf,1,,3,d,cond,atma,
akarizyeTAm,kf,1,,2,d,cond,atma,
akarot,kf,1,8,3,s,ipft,para,
akaros,kf,1,8,2,s,ipft,para,
akartiDvam,kft,2,,2,p,aor,atma,
akartizata,kft,2,,3,p,aor,atma,
akartizam,kft,2,,1,s,aor,para,
akartizAtAm,kft,2,,3,d,aor,atma,
akartizATAm,kft,2,,2,d,aor,atma,
akartizi,kft,2,,1,s,aor,atma,
akartizur,kft,2,,3,p,aor,para,
akartizwa,kft,2,,3,s,aor,atma,
akartizwam,kft,2,,2,d,aor,para,
akartizwAm,kft,2,,3,d,aor,para,
akartizWAs,kft,2,,2,s,aor,atma,
akartizma,kft,2,,1,p,aor,para,
akartizmahi,kft,2,,1,p,aor,atma,
akartizva,kft,2,,1,d,aor,para,
akartizvahi,kft,2,,1,d,aor,atma,
akartIt,kft,2,,3,s,aor,para,
akartIs,kft,2,,2,s,aor,para,
akarSayat,kfS,,,3,s,ipft,para,caus
akarSayata,kfS,,,3,s,ipft,atma,caus
akarSayatam,kfS,,,2,d,ipft,para,caus
akarSayatAm,kfS,,,3,d,ipft,para,caus
akarSayaTAs,kfS,,,2,s,ipft,atma,caus
akarSayaDvam,kfS,,,2,p,ipft,atma,caus
akarSayan,kfS,,,3,p,ipft,para,caus
akarSayanta,kfS,,,3,p,ipft,atma,caus
akarSayam,kfS,,,1,s,ipft,para,caus
akarSayas,kfS,,,2,s,ipft,para,caus
akarSayAma,kfS,,,1,p,ipft,para,caus
akarSayAmahi,kfS,,,1,p,ipft,atma,caus
akarSayAva,kfS,,,1,d,ipft,para,caus
akarSayAvahi,kfS,,,1,d,ipft,atma,caus
akarSaye,kfS,,,1,s,ipft,atma,caus
akarSayetAm,kfS,,,3,d,ipft,atma,caus
akarSayeTAm,kfS,,,2,d,ipft,atma,caus
akarSyata,kfS,,,3,s,ipft,pass,caus
akarSyaTAs,kfS,,,2,s,ipft,pass,caus
akarSyaDvam,kfS,,,2,p,ipft,pass,caus
akarSyanta,kfS,,,3,p,ipft,pass,caus
akarSyAmahi,kfS,,,1,p,ipft,pass,caus
akarSyAvahi,kfS,,,1,d,ipft,pass,caus
akarSye,kfS,,,1,s,ipft,pass,caus
akarSyetAm,kfS,,,3,d,ipft,pass,caus
akarSyeTAm,kfS,,,2,d,ipft,pass,caus
akarzat,kfz,1,1,3,s,ipft,para,
akarzata,kfz,1,1,2,p,ipft,para,
akarzatam,kfz,1,1,2,d,ipft,para,
akarzatAm,kfz,1,1,3,d,ipft,para,
akarzan,kfz,1,1,3,p,ipft,para,
akarzam,kfz,1,1,1,s,ipft,para,
akarzayat,kfz,1,,3,s,ipft,para,caus
akarzayata,kfz,1,,3,s,ipft,atma,caus
akarzayatam,kfz,1,,2,d,ipft,para,caus
akarzayatAm,kfz,1,,3,d,ipft,para,caus
akarzayaTAs,kfz,1,,2,s,ipft,atma,caus
akarzayaDvam,kfz,1,,2,p,ipft,atma,caus
akarzayan,kfz,1,,3,p,ipft,para,caus
akarzayanta,kfz,1,,3,p,ipft,atma,caus
akarzayam,kfz,1,,1,s,ipft,para,caus
akarzayas,kfz,1,,2,s,ipft,para,caus
akarzayAma,kfz,1,,1,p,ipft,para,caus
akarzayAmahi,kfz,1,,1,p,ipft,atma,caus
akarzayAva,kfz,1,,1,d,ipft,para,caus
akarzayAvahi,kfz,1,,1,d,ipft,atma,caus
akarzaye,kfz,1,,1,s,ipft,atma,caus
akarzayetAm,kfz,1,,3,d,ipft,atma,caus
akarzayeTAm,kfz,1,,2,d,ipft,atma,caus
akarzas,kfz,1,1,2,s,ipft,para,
akarzAma,kfz,1,1,1,p,ipft,para,
akarzAva,kfz,1,1,1,d,ipft,para,
akarzyata,kfz,1,,3,s,ipft,pass,caus
akarzyaTAs,kfz,1,,2,s,ipft,pass,caus
akarzyaDvam,kfz,1,,2,p,ipft,pass,caus
akarzyanta,kfz,1,,3,p,ipft,pass,caus
akarzyAmahi,kfz,1,,1,p,ipft,pass,caus
akarzyAvahi,kfz,1,,1,d,ipft,pass,caus
akarzye,kfz,1,,1,s,ipft,pass,caus
akarzyetAm,kfz,1,,3,d,ipft,pass,caus
akarzyeTAm,kfz,1,,2,d,ipft,pass,caus
akalayat,kal,2,10,3,s,ipft,para,
akalayata,kal,2,10,3,s,ipft,atma,
akalayatam,kal,2,10,2,d,ipft,para,
akalayatAm,kal,2,10,3,d,ipft,para,
akalayaTAs,kal,2,10,2,s,ipft,atma,
akalayaDvam,kal,2,10,2,p,ipft,atma,
akalayan,kal,2,10,3,p,ipft,para,
akalayanta,kal,2,10,3,p,ipft,atma,
akalayam,kal,2,10,1,s,ipft,para,
akalayas,kal,2,10,2,s,ipft,para,
akalayAma,kal,2,10,1,p,ipft,para,
akalayAmahi,kal,2,10,1,p,ipft,atma,
akalayAva,kal,2,10,1,d,ipft,para,
akalayAvahi,kal,2,10,1,d,ipft,atma,
akalaye,kal,2,10,1,s,ipft,atma,
akalayetAm,kal,2,10,3,d,ipft,atma,
akalayeTAm,kal,2,10,2,d,ipft,atma,
akalpata,kxp,,1,3,s,ipft,atma,
akalpaTAs,kxp,,1,2,s,ipft,atma,
akalpaDvam,kxp,,1,2,p,ipft,atma,
akalpanta,kxp,,1,3,p,ipft,atma,
akalpayat,kxp,,,3,s,ipft,para,caus
akalpayata,kxp,,,3,s,ipft,atma,caus
akalpayatam,kxp,,,2,d,ipft,para,caus
akalpayatAm,kxp,,,3,d,ipft,para,caus
akalpayaTAs,kxp,,,2,s,ipft,atma,caus
akalpayaDvam,kxp,,,2,p,ipft,atma,caus
akalpayan,kxp,,,3,p,ipft,para,caus
akalpayanta,kxp,,,3,p,ipft,atma,caus
akalpayam,kxp,,,1,s,ipft,para,caus
akalpayas,kxp,,,2,s,ipft,para,caus
akalpayAma,kxp,,,1,p,ipft,para,caus
akalpayAmahi,kxp,,,1,p,ipft,atma,caus
akalpayAva,kxp,,,1,d,ipft,para,caus
akalpayAvahi,kxp,,,1,d,ipft,atma,caus
akalpaye,kxp,,,1,s,ipft,atma,caus
akalpayetAm,kxp,,,3,d,ipft,atma,caus
akalpayeTAm,kxp,,,2,d,ipft,atma,caus
akalpAmahi,kxp,,1,1,p,ipft,atma,
akalpAvahi,kxp,,1,1,d,ipft,atma,
akalpe,kxp,,1,1,s,ipft,atma,
akalpetAm,kxp,,1,3,d,ipft,atma,
akalpeTAm,kxp,,1,2,d,ipft,atma,
akalpyata,kxp,,,3,s,ipft,pass,caus
akalpyaTAs,kxp,,,2,s,ipft,pass,caus
akalpyaDvam,kxp,,,2,p,ipft,pass,caus
akalpyanta,kxp,,,3,p,ipft,pass,caus
akalpyAmahi,kxp,,,1,p,ipft,pass,caus
akalpyAvahi,kxp,,,1,d,ipft,pass,caus
akalpye,kxp,,,1,s,ipft,pass,caus
akalpyetAm,kxp,,,3,d,ipft,pass,caus
akalpyeTAm,kxp,,,2,d,ipft,pass,caus
akalyata,kal,2,,3,s,ipft,pass,
akalyaTAs,kal,2,,2,s,ipft,pass,
akalyaDvam,kal,2,,2,p,ipft,pass,
akalyanta,kal,2,,3,p,ipft,pass,
akalyAmahi,kal,2,,1,p,ipft,pass,
akalyAvahi,kal,2,,1,d,ipft,pass,
akalye,kal,2,,1,s,ipft,pass,
akalyetAm,kal,2,,3,d,ipft,pass,
akalyeTAm,kal,2,,2,d,ipft,pass,
akazat,kaz,,1,3,s,ipft,para,
akazata,kaz,,1,2,p,ipft,para,
akazatam,kaz,,1,2,d,ipft,para,
akazatAm,kaz,,1,3,d,ipft,para,
akazan,kaz,,1,3,p,ipft,para,
akazam,kaz,,1,1,s,ipft,para,
akazas,kaz,,1,2,s,ipft,para,
akazAma,kaz,,1,1,p,ipft,para,
akazAva,kaz,,1,1,d,ipft,para,
akazyata,kaz,,,3,s,ipft,pass,
akazyaTAs,kaz,,,2,s,ipft,pass,
akazyaDvam,kaz,,,2,p,ipft,pass,
akazyanta,kaz,,,3,p,ipft,pass,
akazyAmahi,kaz,,,1,p,ipft,pass,
akazyAvahi,kaz,,,1,d,ipft,pass,
akazye,kaz,,,1,s,ipft,pass,
akazyetAm,kaz,,,3,d,ipft,pass,
akazyeTAm,kaz,,,2,d,ipft,pass,
akasat,kas,1,1,3,s,ipft,para,
akasata,kas,1,1,2,p,ipft,para,
akasatam,kas,1,1,2,d,ipft,para,
akasatAm,kas,1,1,3,d,ipft,para,
akasan,kas,1,1,3,p,ipft,para,
akasam,kas,1,1,1,s,ipft,para,
akasas,kas,1,1,2,s,ipft,para,
akasAma,kas,1,1,1,p,ipft,para,
akasAva,kas,1,1,1,d,ipft,para,
akasyata,kas,1,,3,s,ipft,pass,
akasyaTAs,kas,1,,2,s,ipft,pass,
akasyaDvam,kas,1,,2,p,ipft,pass,
akasyanta,kas,1,,3,p,ipft,pass,
akasyAmahi,kas,1,,1,p,ipft,pass,
akasyAvahi,kas,1,,1,d,ipft,pass,
akasye,kas,1,,1,s,ipft,pass,
akasyetAm,kas,1,,3,d,ipft,pass,
akasyeTAm,kas,1,,2,d,ipft,pass,
akANkzat,kANkz,,1,3,s,ipft,para,
akANkzata,kANkz,,1,3,s,ipft,atma,
akANkzatam,kANkz,,1,2,d,ipft,para,
akANkzatAm,kANkz,,1,3,d,ipft,para,
akANkzaTAs,kANkz,,1,2,s,ipft,atma,
akANkzaDvam,kANkz,,1,2,p,ipft,atma,
akANkzan,kANkz,,1,3,p,ipft,para,
akANkzanta,kANkz,,1,3,p,ipft,atma,
akANkzam,kANkz,,1,1,s,ipft,para,
akANkzas,kANkz,,1,2,s,ipft,para,
akANkzAma,kANkz,,1,1,p,ipft,para,
akANkzAmahi,kANkz,,1,1,p,ipft,atma,
akANkzAva,kANkz,,1,1,d,ipft,para,
akANkzAvahi,kANkz,,1,1,d,ipft,atma,
akANkze,kANkz,,1,1,s,ipft,atma,
akANkzetAm,kANkz,,1,3,d,ipft,atma,
akANkzeTAm,kANkz,,1,2,d,ipft,atma,
akANkzyata,kANkz,,,3,s,ipft,pass,
akANkzyaTAs,kANkz,,,2,s,ipft,pass,
akANkzyaDvam,kANkz,,,2,p,ipft,pass,
akANkzyanta,kANkz,,,3,p,ipft,pass,
akANkzyAmahi,kANkz,,,1,p,ipft,pass,
akANkzyAvahi,kANkz,,,1,d,ipft,pass,
akANkzye,kANkz,,,1,s,ipft,pass,
akANkzyetAm,kANkz,,,3,d,ipft,pass,
akANkzyeTAm,kANkz,,,2,d,ipft,pass,
akArayat,kf,1,,3,s,ipft,para,caus
akArayata,kf,1,,3,s,ipft,atma,caus
akArayatam,kf,1,,2,d,ipft,para,caus
akArayatAm,kf,1,,3,d,ipft,para,caus
akArayaTAs,kf,1,,2,s,ipft,atma,caus
akArayaDvam,kf,1,,2,p,ipft,atma,caus
akArayan,kf,1,,3,p,ipft,para,caus
akArayanta,kf,1,,3,p,ipft,atma,caus
akArayam,kf,1,,1,s,ipft,para,caus
akArayas,kf,1,,2,s,ipft,para,caus
akArayAma,kf,1,,1,p,ipft,para,caus
akArayAmahi,kf,1,,1,p,ipft,atma,caus
akArayAva,kf,1,,1,d,ipft,para,caus
akArayAvahi,kf,1,,1,d,ipft,atma,caus
akAraye,kf,1,,1,s,ipft,atma,caus
akArayetAm,kf,1,,3,d,ipft,atma,caus
akArayeTAm,kf,1,,2,d,ipft,atma,caus
akAri,kf,1,,3,s,aor,pass,
akAryata,kf,1,,3,s,ipft,pass,caus
akAryaTAs,kf,1,,2,s,ipft,pass,caus
akAryaDvam,kf,1,,2,p,ipft,pass,caus
akAryanta,kf,1,,3,p,ipft,pass,caus
akAryAmahi,kf,1,,1,p,ipft,pass,caus
akAryAvahi,kf,1,,1,d,ipft,pass,caus
akArye,kf,1,,1,s,ipft,pass,caus
akAryetAm,kf,1,,3,d,ipft,pass,caus
akAryeTAm,kf,1,,2,d,ipft,pass,caus
akArzam,kf,1,,1,s,aor,para,
akArzIt,kf,1,,3,s,aor,para,
akArzIs,kf,1,,2,s,aor,para,
akArzur,kf,1,,3,p,aor,para,
akArzwa,kf,1,,2,p,aor,para,
akArzwam,kf,1,,2,d,aor,para,
akArzwAm,kf,1,,3,d,aor,para,
akArzma,kf,1,,1,p,aor,para,
akArzva,kf,1,,1,d,aor,para,
akAlayat,kal,2,,3,s,ipft,para,caus
akAlayata,kal,2,,3,s,ipft,atma,caus
akAlayatam,kal,2,,2,d,ipft,para,caus
akAlayatAm,kal,2,,3,d,ipft,para,caus
akAlayaTAs,kal,2,,2,s,ipft,atma,caus
akAlayaDvam,kal,2,,2,p,ipft,atma,caus
akAlayan,kal,2,,3,p,ipft,para,caus
akAlayanta,kal,2,,3,p,ipft,atma,caus
akAlayam,kal,2,,1,s,ipft,para,caus
akAlayas,kal,2,,2,s,ipft,para,caus
akAlayAma,kal,2,,1,p,ipft,para,caus
akAlayAmahi,kal,2,,1,p,ipft,atma,caus
akAlayAva,kal,2,,1,d,ipft,para,caus
akAlayAvahi,kal,2,,1,d,ipft,atma,caus
akAlaye,kal,2,,1,s,ipft,atma,caus
akAlayetAm,kal,2,,3,d,ipft,atma,caus
akAlayeTAm,kal,2,,2,d,ipft,atma,caus
akAlyata,kal,2,,3,s,ipft,pass,caus
akAlyaTAs,kal,2,,2,s,ipft,pass,caus
akAlyaDvam,kal,2,,2,p,ipft,pass,caus
akAlyanta,kal,2,,3,p,ipft,pass,caus
akAlyAmahi,kal,2,,1,p,ipft,pass,caus
akAlyAvahi,kal,2,,1,d,ipft,pass,caus
akAlye,kal,2,,1,s,ipft,pass,caus
akAlyetAm,kal,2,,3,d,ipft,pass,caus
akAlyeTAm,kal,2,,2,d,ipft,pass,caus
akASata,kAS,,1,3,s,ipft,atma,
akASaTAs,kAS,,1,2,s,ipft,atma,
akASaDvam,kAS,,1,2,p,ipft,atma,
akASanta,kAS,,1,3,p,ipft,atma,
akASayat,kAS,,,3,s,ipft,para,caus
akASayata,kAS,,,3,s,ipft,atma,caus
akASayatam,kAS,,,2,d,ipft,para,caus
akASayatAm,kAS,,,3,d,ipft,para,caus
akASayaTAs,kAS,,,2,s,ipft,atma,caus
akASayaDvam,kAS,,,2,p,ipft,atma,caus
akASayan,kAS,,,3,p,ipft,para,caus
akASayanta,kAS,,,3,p,ipft,atma,caus
akASayam,kAS,,,1,s,ipft,para,caus
akASayas,kAS,,,2,s,ipft,para,caus
akASayAma,kAS,,,1,p,ipft,para,caus
akASayAmahi,kAS,,,1,p,ipft,atma,caus
akASayAva,kAS,,,1,d,ipft,para,caus
akASayAvahi,kAS,,,1,d,ipft,atma,caus
akASaye,kAS,,,1,s,ipft,atma,caus
akASayetAm,kAS,,,3,d,ipft,atma,caus
akASayeTAm,kAS,,,2,d,ipft,atma,caus
akASAmahi,kAS,,1,1,p,ipft,atma,
akASAvahi,kAS,,1,1,d,ipft,atma,
akASe,kAS,,1,1,s,ipft,atma,
akASetAm,kAS,,1,3,d,ipft,atma,
akASeTAm,kAS,,1,2,d,ipft,atma,
akASyata,kAS,,,3,s,ipft,pass,
akASyaTAs,kAS,,,2,s,ipft,pass,
akASyaDvam,kAS,,,2,p,ipft,pass,
akASyanta,kAS,,,3,p,ipft,pass,
akASyAmahi,kAS,,,1,p,ipft,pass,
akASyAvahi,kAS,,,1,d,ipft,pass,
akASye,kAS,,,1,s,ipft,pass,
akASyetAm,kAS,,,3,d,ipft,pass,
akASyeTAm,kAS,,,2,d,ipft,pass,
akAzayat,kaz,,,3,s,ipft,para,caus
akAzayata,kaz,,,3,s,ipft,atma,caus
akAzayatam,kaz,,,2,d,ipft,para,caus
akAzayatAm,kaz,,,3,d,ipft,para,caus
akAzayaTAs,kaz,,,2,s,ipft,atma,caus
akAzayaDvam,kaz,,,2,p,ipft,atma,caus
akAzayan,kaz,,,3,p,ipft,para,caus
akAzayanta,kaz,,,3,p,ipft,atma,caus
akAzayam,kaz,,,1,s,ipft,para,caus
akAzayas,kaz,,,2,s,ipft,para,caus
akAzayAma,kaz,,,1,p,ipft,para,caus
akAzayAmahi,kaz,,,1,p,ipft,atma,caus
akAzayAva,kaz,,,1,d,ipft,para,caus
akAzayAvahi,kaz,,,1,d,ipft,atma,caus
akAzaye,kaz,,,1,s,ipft,atma,caus
akAzayetAm,kaz,,,3,d,ipft,atma,caus
akAzayeTAm,kaz,,,2,d,ipft,atma,caus
akAzyata,kaz,,,3,s,ipft,pass,caus
akAzyaTAs,kaz,,,2,s,ipft,pass,caus
akAzyaDvam,kaz,,,2,p,ipft,pass,caus
akAzyanta,kaz,,,3,p,ipft,pass,caus
akAzyAmahi,kaz,,,1,p,ipft,pass,caus
akAzyAvahi,kaz,,,1,d,ipft,pass,caus
akAzye,kaz,,,1,s,ipft,pass,caus
akAzyetAm,kaz,,,3,d,ipft,pass,caus
akAzyeTAm,kaz,,,2,d,ipft,pass,caus
akAsayat,kas,1,,3,s,ipft,para,caus
akAsayata,kas,1,,3,s,ipft,atma,caus
akAsayatam,kas,1,,2,d,ipft,para,caus
akAsayatAm,kas,1,,3,d,ipft,para,caus
akAsayaTAs,kas,1,,2,s,ipft,atma,caus
akAsayaDvam,kas,1,,2,p,ipft,atma,caus
akAsayan,kas,1,,3,p,ipft,para,caus
akAsayanta,kas,1,,3,p,ipft,atma,caus
akAsayam,kas,1,,1,s,ipft,para,caus
akAsayas,kas,1,,2,s,ipft,para,caus
akAsayAma,kas,1,,1,p,ipft,para,caus
akAsayAmahi,kas,1,,1,p,ipft,atma,caus
akAsayAva,kas,1,,1,d,ipft,para,caus
akAsayAvahi,kas,1,,1,d,ipft,atma,caus
akAsaye,kas,1,,1,s,ipft,atma,caus
akAsayetAm,kas,1,,3,d,ipft,atma,caus
akAsayeTAm,kas,1,,2,d,ipft,atma,caus
akAsyata,kas,1,,3,s,ipft,pass,caus
akAsyaTAs,kas,1,,2,s,ipft,pass,caus
akAsyaDvam,kas,1,,2,p,ipft,pass,caus
akAsyanta,kas,1,,3,p,ipft,pass,caus
akAsyAmahi,kas,1,,1,p,ipft,pass,caus
akAsyAvahi,kas,1,,1,d,ipft,pass,caus
akAsye,kas,1,,1,s,ipft,pass,caus
akAsyetAm,kas,1,,3,d,ipft,pass,caus
akAsyeTAm,kas,1,,2,d,ipft,pass,caus
akirat,kF,1,6,3,s,ipft,para,
akirata,kF,1,6,2,p,ipft,para,
akiratam,kF,1,6,2,d,ipft,para,
akiratAm,kF,1,6,3,d,ipft,para,
akiran,kF,1,6,3,p,ipft,para,
akiram,kF,1,6,1,s,ipft,para,
akiras,kF,1,6,2,s,ipft,para,
akirAma,kF,1,6,1,p,ipft,para,
akirAva,kF,1,6,1,d,ipft,para,
akIrtayat,kIrt,,10,3,s,ipft,para,
akIrtayata,kIrt,,10,3,s,ipft,atma,
akIrtayatam,kIrt,,10,2,d,ipft,para,
akIrtayatAm,kIrt,,10,3,d,ipft,para,
akIrtayaTAs,kIrt,,10,2,s,ipft,atma,
akIrtayaDvam,kIrt,,10,2,p,ipft,atma,
akIrtayan,kIrt,,10,3,p,ipft,para,
akIrtayanta,kIrt,,10,3,p,ipft,atma,
akIrtayam,kIrt,,10,1,s,ipft,para,
akIrtayas,kIrt,,10,2,s,ipft,para,
akIrtayAma,kIrt,,10,1,p,ipft,para,
akIrtayAmahi,kIrt,,10,1,p,ipft,atma,
akIrtayAva,kIrt,,10,1,d,ipft,para,
akIrtayAvahi,kIrt,,10,1,d,ipft,atma,
akIrtaye,kIrt,,10,1,s,ipft,atma,
akIrtayetAm,kIrt,,10,3,d,ipft,atma,
akIrtayeTAm,kIrt,,10,2,d,ipft,atma,
akIrtyata,kIrt,,,3,s,ipft,pass,
akIrtyaTAs,kIrt,,,2,s,ipft,pass,
akIrtyaDvam,kIrt,,,2,p,ipft,pass,
akIrtyanta,kIrt,,,3,p,ipft,pass,
akIrtyAmahi,kIrt,,,1,p,ipft,pass,
akIrtyAvahi,kIrt,,,1,d,ipft,pass,
akIrtye,kIrt,,,1,s,ipft,pass,
akIrtyetAm,kIrt,,,3,d,ipft,pass,
akIrtyeTAm,kIrt,,,2,d,ipft,pass,
akIryata,kF,1,,3,s,ipft,pass,
akIryaTAs,kF,1,,2,s,ipft,pass,
akIryaDvam,kF,1,,2,p,ipft,pass,
akIryanta,kF,1,,3,p,ipft,pass,
akIryAmahi,kF,1,,1,p,ipft,pass,
akIryAvahi,kF,1,,1,d,ipft,pass,
akIrye,kF,1,,1,s,ipft,pass,
akIryetAm,kF,1,,3,d,ipft,pass,
akIryeTAm,kF,1,,2,d,ipft,pass,
akucat,kuc,,6,3,s,ipft,para,
akucata,kuc,,6,2,p,ipft,para,
akucatam,kuc,,6,2,d,ipft,para,
akucatAm,kuc,,6,3,d,ipft,para,
akucan,kuc,,6,3,p,ipft,para,
akucam,kuc,,6,1,s,ipft,para,
akucas,kuc,,6,2,s,ipft,para,
akucAma,kuc,,6,1,p,ipft,para,
akucAva,kuc,,6,1,d,ipft,para,
akucyata,kuc,,,3,s,ipft,pass,
akucyaTAs,kuc,,,2,s,ipft,pass,
akucyaDvam,kuc,,,2,p,ipft,pass,
akucyanta,kuc,,,3,p,ipft,pass,
akucyAmahi,kuc,,,1,p,ipft,pass,
akucyAvahi,kuc,,,1,d,ipft,pass,
akucye,kuc,,,1,s,ipft,pass,
akucyetAm,kuc,,,3,d,ipft,pass,
akucyeTAm,kuc,,,2,d,ipft,pass,
akuYcat,kuc,,1,3,s,ipft,para,
