form,root,hom,pos,modification
gaditvA,gad,,gerund,
gamayitvA,gam,1,gerund,caus
garjitvA,garj,,gerund,
garditvA,gard,,gerund,
garDayitvA,gfD,,gerund,caus
garDitvA,gfD,,gerund,
garhayitvA,garh,,gerund,
garhitvA,garh,,gerund,
galitvA,gal,2,gerund,
galBitvA,galB,,gerund,
gAQvA,gAh,,gerund,
gAlayitvA,gal,2,gerund,caus
gAhitvA,gAh,,gerund,
gIrtvA,gF,2,gerund,
gIrtvA,gF,1,gerund,
guYjitvA,guYj,,gerund,
gumPitvA,gumP,,gerund,
gurtvA,gur,,gerund,
gUQvA,guh,1,gerund,
gUhayitvA,guh,1,gerund,caus
gUhitvA,guh,1,gerund,
gfdDvA,gfD,,gerund,
gfBItvA,grah,,gerund,
gfhItvA,grah,,gerund,
granTitvA,granT,1,gerund,
grasitvA,gras,1,gerund,
grastvA,gras,1,gerund,
grAhayitvA,grah,,gerund,caus
glapayitvA,glE,,gerund,caus
glAtvA,glE,,gerund,
GawayitvA,Gaw,,gerund,caus
GawitvA,Gaw,,gerund,
GawwayitvA,Gaww,,gerund,
GawwitvA,Gaww,,gerund,
GarzitvA,Gfz,2,gerund,
GAwayitvA,Gaw,,gerund,caus
GAtayitvA,han,1,gerund,caus
GuzitvA,Guz,2,gerund,
GuzwvA,Guz,2,gerund,
GUrRitvA,GUrR,,gerund,
GftvA,Gf,2,gerund,
GfzwvA,Gfz,2,gerund,
GozayitvA,Guz,2,gerund,caus
GozitvA,Guz,2,gerund,
GrAtvA,GrA,,gerund,
caYcitvA,caYc,,gerund,
cawitvA,caw,,gerund,
cantvA,cam,,gerund,
canditvA,cand,,gerund,
capayitvA,ci,2,gerund,caus
camitvA,cam,,gerund,
cayayitvA,ci,2,gerund,caus
caritvA,car,,gerund,
cartvA,car,,gerund,
calitvA,cal,,gerund,
cazwvA,cakz,,gerund,
cApayitvA,ci,2,gerund,caus
cAyayitvA,ci,2,gerund,caus
cArayitvA,car,,gerund,caus
cAlayitvA,cal,,gerund,caus
cikitsitvA,cit,4,gerund,desid
cikIrzitvA,kf,1,gerund,desid
cikIzitvA,ci,2,gerund,desid
cikrIzitvA,krI,1,gerund,desid
cicIzitvA,ci,2,gerund,desid
cittvA,cit,4,gerund,
citvA,ci,2,gerund,
cintayitvA,cint,,gerund,
cIrtvA,car,,gerund,
cukzUzitvA,kzu,1,gerund,desid
cuditvA,cud,,gerund,
cumbitvA,cumb,2,gerund,
curayitvA,cur,,gerund,
cUzwvA,cUz,,gerund,
cetayitvA,cit,4,gerund,caus
cezwayitvA,cezw,,gerund,caus
cezwitvA,cezw,,gerund,
codayitvA,cud,,gerund,caus
coditvA,cud,,gerund,
copayitvA,kup,1,gerund,caus
cyutvA,cyu,2,gerund,
CattvA,Cad,3,gerund,
CAdayitvA,Cad,3,gerund,caus
CittvA,Cid,,gerund,
CedayitvA,Cid,,gerund,caus
jagDvA,jakz,2,gerund,
janayitvA,jan,,gerund,caus
jantvA,jam,2,gerund,
japtvA,jap,,gerund,
jabDvA,jaB,2,gerund,
jabDvA,jaB,2,gerund,
jamitvA,jam,2,gerund,
jarayitvA,jF,1,gerund,caus
jalpitvA,jalp,,gerund,
jasitvA,jas,,gerund,
jastvA,jas,,gerund,
jAgarayitvA,jAgf,,gerund,caus
jAgaritvA,jAgf,,gerund,
jAtvA,jan,,gerund,
jApayitvA,ji,1,gerund,caus
jAsayitvA,jas,,gerund,caus
jigadizitvA,gad,,gerund,desid
jigamizitvA,gam,1,gerund,desid
jigIzitvA,ji,1,gerund,desid
jiGAMsitvA,han,1,gerund,desid
jiGfkzitvA,grah,,gerund,desid
jijIvizitvA,jIv,,gerund,desid
jijYAsitvA,jYA,1,gerund,desid
jitvA,ji,1,gerund,
jinvitvA,jinv,,gerund,
jihIrzitvA,hf,1,gerund,desid
jItvA,jyA,1,gerund,
jIrtvA,jF,1,gerund,
jIvitvA,jIv,,gerund,
juzwvA,juz,1,gerund,
juhUzitvA,hu,1,gerund,desid
jUtvA,jU,1,gerund,
jfmBitvA,jfmB,,gerund,
jozayitvA,juz,1,gerund,caus
jYapayitvA,jYA,1,gerund,caus
jYapitvA,jYA,1,gerund,caus
jYAtvA,jYA,1,gerund,
jYApayitvA,jYA,1,gerund,caus
jyuttvA,jyut,,gerund,
jyotayitvA,jyut,,gerund,caus
jvartvA,jvar,,gerund,
jvalayitvA,jval,,gerund,caus
jvalitvA,jval,,gerund,
qambayitvA,qamb,,gerund,
qItvA,qI,,gerund,
taktvA,tak,,gerund,
taktvA,taYc,2,gerund,
takzitvA,takz,1,gerund,
taYcitvA,taYc,2,gerund,
tatvA,tan,3,gerund,
tanitvA,tan,3,gerund,
tantvA,tan,2,gerund,
tantvA,tam,,gerund,
tapitvA,tap,2,gerund,
taptvA,tap,2,gerund,
tamitvA,tam,,gerund,
tarkayitvA,tark,,gerund,
tarjayitvA,tarj,,gerund,caus
tarjitvA,tarj,,gerund,
tarpayitvA,tfp,1,gerund,caus
tarzitvA,tfz,1,gerund,
tazwvA,takz,1,gerund,
tApayitvA,tap,2,gerund,caus
tArayitvA,tF,,gerund,caus
tiktvA,tij,,gerund,
titikzitvA,tij,,gerund,desid
titIrzitvA,tF,,gerund,desid
tIrtvA,tF,,gerund,
tuttvA,tud,1,gerund,
tuptvA,tup,,gerund,
tulayitvA,tul,,gerund,
tuzwUzitvA,stu,1,gerund,desid
tuzwvA,tuz,,gerund,
tUrtvA,tvar,,gerund,
tfttvA,tfd,,gerund,
tfptvA,tfp,1,gerund,
tejayitvA,tij,,gerund,caus
tozayitvA,tuz,,gerund,caus
tyaktvA,tyaj,1,gerund,
tyAjayitvA,tyaj,1,gerund,caus
trapayitvA,trap,,gerund,caus
trapitvA,trap,,gerund,
traptvA,trap,,gerund,
trastvA,tras,2,gerund,
trAtvA,trE,,gerund,
trAsayitvA,tras,2,gerund,caus
truwitvA,truw,,gerund,
trowayitvA,truw,,gerund,caus
trowitvA,truw,,gerund,
tvakzitvA,tvakz,,gerund,
tvarayitvA,tvar,,gerund,caus
tvaritvA,tvar,,gerund,
tvazwvA,tvakz,,gerund,
tvizitvA,tviz,1,gerund,
tvezitvA,tviz,1,gerund,
tsartvA,tsar,,gerund,
daMSitvA,daMS,2,gerund,
dakzitvA,dakz,,gerund,
dagDvA,daG,,gerund,
dagDvA,dah,1,gerund,
dattvA,dA,1,gerund,
dabDvA,daB,,gerund,
damayitvA,dam,1,gerund,caus
damitvA,dam,1,gerund,
dayitvA,day,,gerund,
darpayitvA,dfp,2,gerund,caus
darpitvA,dfp,2,gerund,
darBayitvA,dfB,2,gerund,caus
dalitvA,dal,,gerund,
dasitvA,das,,gerund,
dastvA,das,,gerund,
dAntvA,dam,1,gerund,
dApayitvA,dA,1,gerund,caus
dArayitvA,dF,,gerund,caus
dAvayitvA,du,2,gerund,caus
dASayitvA,dAS,1,gerund,caus
dAzwvA,dAS,1,gerund,
dAsayitvA,das,,gerund,caus
dAhayitvA,dah,1,gerund,caus
digDvA,dih,1,gerund,
ditvA,dA,4,gerund,
ditsitvA,dA,1,gerund,desid
diDizitvA,DA,1,gerund,desid
dIkzayitvA,dIkz,,gerund,caus
dIkzitvA,dIkz,,gerund,
dItvA,dA,1,gerund,
dIrtvA,dF,,gerund,
dugDvA,duh,2,gerund,
dutvA,du,2,gerund,
dudUzitvA,du,2,gerund,desid
dudrUzitvA,dru,2,gerund,desid
duDukzitvA,duh,2,gerund,desid
duzwvA,duz,2,gerund,
dUzayitvA,duz,2,gerund,caus
dfQvA,dfh,,gerund,
dfptvA,dfp,2,gerund,
dfbDvA,dfB,2,gerund,
dehayitvA,dih,1,gerund,caus
dohayitvA,duh,2,gerund,caus
dyutitvA,dyut,2,gerund,
dyuttvA,dyut,2,gerund,
dyotayitvA,dyut,2,gerund,caus
dyotitvA,dyut,2,gerund,
drAtvA,drA,,gerund,
drAtvA,drA,,gerund,
drApayitvA,drA,,gerund,caus
drArayitvA,druh,1,gerund,caus
drAvayitvA,dru,2,gerund,caus
drugDvA,druh,1,gerund,
drutvA,dru,2,gerund,
druhitvA,druh,1,gerund,
drUQvA,druh,1,gerund,
drohitvA,druh,1,gerund,
dvizwvA,dviz,2,gerund,
DarzayitvA,Dfz,,gerund,caus
DarzitvA,Dfz,,gerund,
DApayitvA,DA,1,gerund,caus
DArayitvA,Df,,gerund,caus
DAvitvA,DAv,2,gerund,
DAvtvA,DAv,2,gerund,
DitvA,DA,1,gerund,
DitsitvA,DA,1,gerund,desid
DItvA,DA,1,gerund,
DukzayitvA,Dukz,,gerund,caus
DukzitvA,Dukz,,gerund,
DutvA,DU,1,gerund,
DUtvA,DU,1,gerund,
DUrtvA,Dvf,,gerund,
DftvA,Df,,gerund,
DOtvA,DAv,2,gerund,
DmAtvA,Dam,,gerund,
DrutvA,Dru,1,gerund,
DvaMsayitvA,DvaMs,,gerund,caus
DvaMsitvA,DvaMs,,gerund,
DvanayitvA,Dvan,2,gerund,caus
DvanitvA,Dvan,2,gerund,
DvastvA,DvaMs,,gerund,
DvANkzitvA,DvANkz,,gerund,
DvArayitvA,Dvf,,gerund,caus
natvA,nam,,gerund,
nadayitvA,nad,,gerund,caus
naditvA,nad,,gerund,
nadDvA,nah,1,gerund,
nandayitvA,nand,,gerund,caus
nanditvA,nand,,gerund,
nartayitvA,nft,1,gerund,caus
narditvA,nard,,gerund,
naSitvA,naS,2,gerund,
nazwvA,naS,2,gerund,
nAtTvA,nAT,,gerund,
nAdayitvA,nad,,gerund,caus
nAmayitvA,nam,,gerund,caus
nAyayitvA,nI,2,gerund,caus
nASayitvA,naS,2,gerund,caus
niktvA,nij,,gerund,
ninadizitvA,nad,,gerund,desid
ninartizitvA,nft,1,gerund,desid
ninIzitvA,nI,2,gerund,desid
ninftsitvA,nft,1,gerund,desid
ninditvA,nind,,gerund,
nItvA,nI,2,gerund,
nuttvA,nud,,gerund,
nutvA,nu,4,gerund,
nfttvA,nft,1,gerund,
nejayitvA,nij,,gerund,caus
nenikzitvA,nij,,gerund,desid
nodayitvA,nud,,gerund,caus
paktvA,pac,2,gerund,
pawwvA,paw,,gerund,
paWitvA,paW,,gerund,
paRayitvA,paR,,gerund,caus
paRitvA,paR,,gerund,
patitvA,pat,2,gerund,
pattvA,pat,1,gerund,
patTvA,paT,,gerund,
parzitvA,pfz,,gerund,
pAcayitvA,pac,2,gerund,caus
pAwayitvA,paw,,gerund,caus
pAWayitvA,paW,,gerund,caus
pAtayitvA,pat,2,gerund,caus
pATayitvA,paT,,gerund,caus
pAyayitvA,pA,1,gerund,caus
pArayitvA,pf,1,gerund,caus
pArayitvA,pF,,gerund,caus
pAlayitvA,pA,3,gerund,caus
piYjitvA,piYj,,gerund,
pipakzitvA,pac,2,gerund,desid
pipaWizitvA,paW,,gerund,desid
pipatizitvA,pat,2,gerund,desid
pipAsitvA,pA,1,gerund,desid
pipAsitvA,pA,3,gerund,desid
piprIzitvA,prI,1,gerund,desid
pizwvA,piz,,gerund,
pizwvA,piS,1,gerund,
pIqayitvA,pIq,,gerund,
pItvA,pA,1,gerund,
pItvA,pA,3,gerund,
pItvA,pi,1,gerund,
putTvA,puT,,gerund,
pupUrzitvA,pF,,gerund,desid
puzwvA,puz,2,gerund,
pUjayitvA,pUj,,gerund,
pUtvA,pUy,,gerund,
pUtvA,pU,1,gerund,
pUrayitvA,pF,,gerund,caus
pUrtvA,pF,,gerund,
pfktvA,pfc,1,gerund,
pfTayitvA,pfT,2,gerund,
pfzwvA,pfz,,gerund,
poTayitvA,puT,,gerund,caus
pozayitvA,puz,2,gerund,caus
praTayitvA,praT,1,gerund,caus
praTitvA,praT,1,gerund,
prAvayitvA,pru,,gerund,caus
pritvA,pf,1,gerund,
prIRayitvA,prI,1,gerund,caus
prItvA,prI,1,gerund,
prUtvA,pru,,gerund,
plAvayitvA,plu,,gerund,caus
plutvA,plu,,gerund,
pluzwvA,pluz,,gerund,
PalitvA,Pal,,gerund,
PullitvA,Pull,,gerund,
baMhayitvA,baMh,,gerund,caus
banDayitvA,banD,,gerund,caus
banDitvA,banD,,gerund,
barhitvA,bfh,1,gerund,
bahitvA,baMh,,gerund,
bADayitvA,bAD,,gerund,caus
bADitvA,bAD,,gerund,
bIBatsitvA,bAD,,gerund,desid
budDvA,buD,,gerund,
buBukzitvA,Buj,3,gerund,desid
buButsitvA,buD,,gerund,desid
buBUzitvA,BU,1,gerund,desid
buBodizitvA,buD,,gerund,desid
buBoDizitvA,buD,,gerund,desid
bfMhayitvA,bfh,1,gerund,caus
bfQvA,bfh,1,gerund,
bfQvA,bfh,1,gerund,
boDayitvA,buD,,gerund,caus
BaktvA,Baj,,gerund,
BaktvA,BaYj,1,gerund,
BakzayitvA,Bakz,,gerund,caus
BakzitvA,Bakz,,gerund,
BaYjayitvA,BaYj,1,gerund,caus
BaRitvA,BaR,,gerund,
BaRqitvA,BaRq,,gerund,
BanditvA,Band,,gerund,
BartsayitvA,Barts,,gerund,
BazwvA,Baz,,gerund,
BasitvA,Bas,1,gerund,
BAtvA,BA,1,gerund,
BAyayitvA,BI,1,gerund,caus
BArayitvA,Bf,1,gerund,caus
BAvayitvA,BU,1,gerund,caus
BAzitvA,BAz,1,gerund,
BAsayitvA,BAs,1,gerund,caus
BAsitvA,BAs,1,gerund,
BikzitvA,Baj,,gerund,desid
BittvA,Bid,1,gerund,
BItvA,BI,1,gerund,
BIzayitvA,BI,1,gerund,caus
BuktvA,Buj,3,gerund,
BuktvA,Buj,3,gerund,
BuYjApayitvA,Buj,3,gerund,caus
BUtvA,BU,1,gerund,
BUzayitvA,BUz,,gerund,caus
BUzitvA,BUz,,gerund,
BftvA,Bf,1,gerund,
BedayitvA,Bid,1,gerund,caus
BojayitvA,Buj,3,gerund,caus
BraMSayitvA,BraMS,,gerund,caus
BraMSitvA,BraMS,,gerund,
BramitvA,Bram,,gerund,
BrazwvA,BraMS,,gerund,
BrAjayitvA,BrAj,1,gerund,caus
BrAjitvA,BrAj,1,gerund,
BrAntvA,Bram,,gerund,
BrAmayitvA,Bram,,gerund,caus
maMhayitvA,maMh,,gerund,caus
maktvA,majj,,gerund,
majjayitvA,majj,,gerund,caus
maRqayitvA,maRq,,gerund,caus
maRqitvA,maRq,,gerund,
mattvA,mad,2,gerund,
matvA,man,,gerund,
maTitvA,manT,1,gerund,
madayitvA,mad,2,gerund,caus
mandayitvA,mand,1,gerund,caus
manditvA,mand,1,gerund,
mardayitvA,mfd,1,gerund,caus
marDitvA,mfD,1,gerund,
marSayitvA,mfS,1,gerund,caus
marzayitvA,mfz,1,gerund,caus
mahayitvA,mah,1,gerund,caus
mahitvA,mah,1,gerund,
mahitvA,maMh,,gerund,
mAtvA,man,,gerund,
mAdayitvA,mad,2,gerund,caus
mAnayitvA,man,,gerund,caus
mApayitvA,mA,3,gerund,caus
mArgayitvA,mArg,,gerund,
mArjayitvA,mfj,1,gerund,caus
mArjitvA,mfj,1,gerund,
mitTvA,miT,,gerund,
mitvA,mi,1,gerund,
mitvA,mA,3,gerund,
militvA,mil,,gerund,
mizitvA,miz,1,gerund,
mizwvA,miz,1,gerund,
mIQvA,mih,1,gerund,
mItvA,mI,1,gerund,
mItvA,mA,3,gerund,
mImAMsitvA,man,,gerund,desid
mIlayitvA,mIl,,gerund,caus
mIlitvA,mIl,,gerund,
muktvA,muc,2,gerund,
mugDvA,muh,1,gerund,
muditvA,mud,2,gerund,
mumukzitvA,muc,2,gerund,desid
muzitvA,muz,2,gerund,
muhitvA,muh,1,gerund,
mUQvA,muh,1,gerund,
mUrCayitvA,mUrC,,gerund,caus
mUrCitvA,mUrC,,gerund,
mfwwvA,mfq,,gerund,
mfqayitvA,mfq,,gerund,
mfttvA,mfd,1,gerund,
mfdDvA,mfD,1,gerund,
mfzwvA,mfz,1,gerund,
mfzwvA,mfj,1,gerund,
mfzwvA,mfS,1,gerund,
melApayitvA,mil,,gerund,caus
melitvA,mil,,gerund,
mezitvA,miz,1,gerund,
mokzayitvA,mokz,,gerund,
mokzitvA,mokz,,gerund,
mocayitvA,muc,2,gerund,caus
modayitvA,mud,2,gerund,caus
moditvA,mud,2,gerund,
mozitvA,muz,2,gerund,
mohayitvA,muh,1,gerund,caus
mohitvA,muh,1,gerund,
mnAtvA,mnA,,gerund,
yatitvA,yat,2,gerund,
yattvA,yat,2,gerund,
yatvA,yam,,gerund,
yabDvA,yaB,,gerund,
yamayitvA,yam,,gerund,caus
yasitvA,yas,,gerund,
yastvA,yas,,gerund,
yAcitvA,yAc,,gerund,
yAjayitvA,yaj,1,gerund,caus
yAtayitvA,yat,2,gerund,caus
yAtvA,yA,1,gerund,
yApayitvA,yA,1,gerund,caus
yAvayitvA,yu,1,gerund,caus
yiyakzitvA,yaj,1,gerund,desid
yiyatizitvA,yat,2,gerund,desid
yiyAsitvA,yA,1,gerund,desid
yuktvA,yuj,1,gerund,
yutvA,yu,2,gerund,
yutvA,yu,1,gerund,
yudDvA,yuD,1,gerund,
yuyukzitvA,yuj,1,gerund,desid
yuyutsitvA,yuD,1,gerund,desid
yojayitvA,yuj,1,gerund,caus
raMhitvA,raMh,,gerund,
raktvA,raYj,,gerund,
rakzayitvA,rakz,1,gerund,caus
rakzitvA,rakz,1,gerund,
racayitvA,rac,,gerund,
raYjayitvA,raYj,,gerund,caus
raYjitvA,raYj,,gerund,
raRitvA,raR,2,gerund,
rattvA,rad,,gerund,
ratvA,ram,,gerund,
radDvA,raD,,gerund,
raDitvA,raD,,gerund,
ranDayitvA,raD,,gerund,caus
rabDvA,raB,,gerund,
ramayitvA,ram,,gerund,caus
ramitvA,ram,,gerund,
rahayitvA,rah,,gerund,
rAjayitvA,rAj,1,gerund,caus
rAjitvA,rAj,1,gerund,
rAtvA,rA,1,gerund,
rAdDvA,rAD,,gerund,
rADayitvA,rAD,,gerund,caus
rAmayitvA,ram,,gerund,caus
riktvA,ric,,gerund,
ripsitvA,raB,,gerund,desid
riraMsitvA,ram,,gerund,desid
rirakzizitvA,rakz,1,gerund,desid
rirADayizitvA,rAD,,gerund,desid
rizitvA,riz,1,gerund,
rizwvA,riz,1,gerund,
rItvA,ri,1,gerund,
ruktvA,ruj,1,gerund,
rucitvA,ruc,1,gerund,
rutvA,ru,1,gerund,
ruditvA,rud,1,gerund,
rudDvA,ruD,1,gerund,
rudDvA,ruD,2,gerund,
rurukzitvA,ruh,1,gerund,desid
ruzitvA,ruz,1,gerund,
ruzwvA,ruz,1,gerund,
rUQvA,ruh,1,gerund,
rUpayitvA,rUp,,gerund,
recayitvA,ric,,gerund,caus
rezayitvA,riz,1,gerund,caus
rezitvA,riz,1,gerund,
rocayitvA,ruc,1,gerund,caus
rocitvA,ruc,1,gerund,
rodayitvA,rud,1,gerund,caus
roditvA,rud,1,gerund,
roDayitvA,ruD,2,gerund,caus
ropayitvA,ruh,1,gerund,caus
rozayitvA,ruz,1,gerund,caus
rozitvA,ruz,1,gerund,
rohayitvA,ruh,1,gerund,caus
laktvA,lag,,gerund,
lakzayitvA,lakz,,gerund,
lagitvA,lag,,gerund,
laNgitvA,laNg,,gerund,
laNGayitvA,laNG,,gerund,caus
laNGitvA,laNG,,gerund,
lajjayitvA,lajj,,gerund,caus
lajjitvA,lajj,,gerund,
lapitvA,lap,1,gerund,
labDvA,laB,,gerund,
lambitvA,lamb,2,gerund,
lamBayitvA,laB,,gerund,caus
lalitvA,lal,,gerund,
lazitvA,laz,,gerund,
lasitvA,las,1,gerund,
lAYCitvA,lAYC,,gerund,
lApayitvA,lap,1,gerund,caus
lAlayitvA,lal,,gerund,caus
lAzayitvA,laz,,gerund,caus
lAsayitvA,las,1,gerund,caus
liKitvA,liK,,gerund,
liptvA,lip,,gerund,
lipsitvA,laB,,gerund,desid
lilazizitvA,laz,,gerund,desid
lizwvA,liS,1,gerund,
lIQvA,lih,1,gerund,
luptvA,lup,1,gerund,
lubDvA,luB,,gerund,
luBitvA,luB,,gerund,
lulitvA,lul,,gerund,
lUtvA,lU,1,gerund,
leKayitvA,liK,,gerund,caus
leKitvA,liK,,gerund,
lepayitvA,lip,,gerund,caus
lokayitvA,lok,,gerund,
lokitvA,lok,,gerund,
locitvA,loc,,gerund,
loBayitvA,luB,,gerund,caus
loBitvA,luB,,gerund,
lolitvA,lul,,gerund,
vaNktvA,vaYc,,gerund,
vaYcayitvA,vaYc,,gerund,caus
vaYcitvA,vaYc,,gerund,
vatvA,van,1,gerund,
vaditvA,vad,,gerund,
vanditvA,vand,,gerund,
varayitvA,vf,2,gerund,caus
varitvA,vf,2,gerund,
varItvA,vf,2,gerund,
varjayitvA,vfj,1,gerund,caus
vartayitvA,vft,1,gerund,caus
varDayitvA,vfD,,gerund,caus
varDitvA,vfD,,gerund,
varzayitvA,vfz,,gerund,caus
varzitvA,vfz,,gerund,
varhitvA,vfh,1,gerund,
valayitvA,val,,gerund,caus
valitvA,val,,gerund,
valgitvA,valg,,gerund,
vasitvA,vas,5,gerund,
vasitvA,vas,4,gerund,
vasitvA,vas,2,gerund,
vAcayitvA,vac,,gerund,caus
vAYCitvA,vAYC,,gerund,
vAtvA,vA,2,gerund,
vAdayitvA,vad,,gerund,caus
vAntvA,vam,,gerund,
vApayitvA,vA,2,gerund,caus
vApayitvA,vap,2,gerund,caus
vArayitvA,vf,2,gerund,caus
vAsayitvA,vas,5,gerund,caus
vAsayitvA,vas,4,gerund,caus
vAhayitvA,vah,1,gerund,caus
